,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Eliseu,,Alyaasa (W),Eliseu viveu cerca de 800 anos antes de Jesus. Ele foi um profeta de Deus designado pelo profeta Elias. Eliseu realizou mais milagres do que Elias.,Elias,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Elcana,,,"Haviam vários homens chamados Elcana. Um certo Elcana era marido de Ana e pai do profeta Samuel. (O nome Elcana significa ""Deus criou"".)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,imperador,imperadores,,"Um imperador era o rei ou governante mais alto de um império, governando reis menores. Alguns condados consideravam seu imperador divino ou um deus.","rei, faraó, césar",,,,,,,,,,,,,,,,,,,,,,,,,,
t,império,"reino,","todas as divisões da sua terra(G); 
","Um império é um extenso grupo de múltiplas cidades, estados e/ou nações sobre as quais um governante supremo (um imperador) tem autoridade. Babilônia, Assíria e Roma eram exemplos de impérios nos tempos bíblicos.","nação, país, região, imperador",,"GC 08-Feb-19
RR updated",,,,,,,,,,,,,,,,,,,,,,,,
n,Éfeso,Efésios,,"Éfeso era uma grande cidade perto do mar na Ásia Menor onde Paulo iniciou novas igrejas. Mais tarde, ele escreveu uma carta aos efésios. Jesus também escreveu uma carta aos Efésios através de João no Apocalipse.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Efraim,,,Efraim era o mais novo dos dois filhos de José. Efraim tornou-se ancestral de uma tribo de Israel. (O nome Efraim significa Frutífero.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Epicureus,epicurista,,"Os epicuristas seguiam os ensinamentos do filósofo Epicuro, que viveu cerca de 300 anos antes de Jesus. Ele ensinou que as pessoas devem buscar a felicidade na vida, evitando a dor e o medo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esaú,,Esawu (W),"Esaú viveu por volta de 1900 anos antes de Jesus. O filho de Abraão, Isaque, teve filhos gêmeos chamados Esaú e Jacó. Esaú, que era o primogênito, vendeu tolamente seu direito de primogenitura a seu irmão Jacó. (Os filhos de Jacó tornaram-se os israelitas, e os filhos de Esaú, os edomitas.)",Edom,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ester,,,"Ester era uma órfã judia criada por seu primo Mordecai. Depois que o rei persa Xerses fez de Ester sua nova rainha, ela salvou muitos judeus da morte. (O nome Esther significa Estrela. Seu nome judaico Hadassah significa Mirto/Murta.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,eunuco,eunucos,"castrado; homem (R);
homem solteiro, levado a ser assim (G);
camareiro (W);","Um eunuco era um homem que havia sido castrado / emasculado. As nações pagãs praticavam esse tipo de mutilação às vezes em escravos ou naqueles a serem treinados para certos tipos de trabalho, como o serviço oficial do governo. Não era um costume judaico, já que a lei de Deus proíbe que os homens sejam eunucos.",servo,"take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Eva,,Awa (W do árabe),"Eva viveu cerca de 4.000 anos antes de Jesus. Eva foi a esposa de Adão, a primeira mãe de todos os seres humanos. Quando Satanás tentou Adão e Eva, eles desobedeceram a Deus. Desde então, todos os seres humanos também pecaram e devem morrer.",Adão,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",,,,,,,,,,,,,,,,,,,,,,,,
t,mau,"perverso, malvado, pecador, maldade",,As coisas más são tudo o que Deus proíbe; pessoas más são aquelas que desobedecem às leis de Deus; espíritos malignos são seres invisíveis que fazem as pessoas pensarem no mal e praticarem ações malignas.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,fé,"acreditar, crendo, crê, acreditou, crença, confiar","dizer sim (a alguém ou algo; concordar; aceitar; confiar como verdadeiro);
confiar; crença (R); crença (W); coração/fígado (ser interior) depende de algo (PNG)","Fé significa (1) acreditar na verdade, (2) confiar em Deus ou em Cristo e (3) permanecer leal a Jesus. Tanto na Antiga quanto na Nova Aliança (testamentos), Deus considera justos aqueles que depositam sua fé nele e em suas promessas.","confiar, duvidar, descrença",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",,,,,,,,,,,,,,,,,,,,,,,,
t,jejum,,jejum (R); ,"Jejuar significa não comer por um tempo. Os judeus costumavam jejuar como sinal de arrependimento, tristeza ou humildade diante de Deus. Os cristãos às vezes jejuam como uma forma de oração a Deus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,festa,"festival, festas, festivais, festejaram","uma ampliação (W); lembre-se (W);
grande refeição/comida; grande dia de adoração (K); festa (R);
grande dança (festival) / grande refeição (festa) (G);
","As festas são refeições especiais com muita boa comida e bebida. Normalmente, um banquete é servido para uma ocasião especial. Os israelitas tinham festas para as celebrações anuais, quando as famílias se reuniam para lembrar a bondade de Deus. Os israelitas tinham que manter certas festas em Jerusalém.",festival,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Festa da Dedicação,"Hanucá, Festa das Luzes","purificação (W); festa quando eles se lembraram do dia em que abriram a casa de doações (R);
um grande dia de adoração para que eles se lembrassem do dia em que abriram a casa de doações (K)
","No ano 165 antes de Jesus, os israelitas (judeus) recuperaram seu templo de seus inimigos, dedicando-o novamente a Deus. Os judeus celebram esta festa anual, chamando-a de Hannukah e o ""Festival das Luzes"".",,other language: why house of giving? (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,festa do Pentecostes,Pentecoste,dia de Pentecostes (R); ,"Pentecostes significa cinquenta. Este festival da colheita ocorre no mês de maio, 50 dias após a festa anual da Páscoa. Foi no Pentecostes, no ano 33, que o Espírito Santo desceu pela primeira vez sobre todos os que creram em Jesus.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",,,,,,,,,,,,,,,,,,,,,,,,
t,festa das Cabanas,"festa dos tabernáculos, festa das tendas",dia de adoração dos judeus que eles chamam de festa dos abrigos (R); dias de grande culto em abrigos (K); grande dia de adoração chamado festa das tendas,"Na festa anual dos abrigos em outubro ou novembro, os judeus se regozijam porque a colheita foi concluída. Eles ficam em abrigos temporários por uma semana, para homenagear seus ancestrais que viveram quarenta anos em abrigos enquanto vagavam pelo deserto.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,festa da Páscoa,Páscoa,festa de passagem (R); grande dia de culto de Passagem (K);,"Durante a festa anual da Páscoa em março ou abril, os judeus relembram como seus ancestrais escaparam da escravidão no país do Egito. Naquela época, Deus avisou que enviaria seu anjo para matar o filho mais velho de todas as casas do Egito, exceto aquelas onde matassem um cordeiro e espalhassem seu sangue na ombreira da porta da frente. Ali o anjo passaria sem ferir ninguém.",Festa do Pão sem fermento,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Festa do Pão sem Fermento,Pão sem fermento,banquete do pão sem fermento (R); grande dia de adoração de pão sem fermento (K);,"A festa anual dos Pães Asmos dura sete dias após a Festa da Páscoa. Durante esses sete dias, os judeus comem pão sem fermento, para lembrar como seus ancestrais escaparam do Egito (tão rápido que não tiveram tempo de esperar para assar o pão com fermento).",Páscoa,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Félix,,,"Félix foi governador romano da Judéia entre os anos 52 e 60. Homem desonesto, manteve Paulo preso em Cesária por dois anos. Certa vez, ele ficou alarmado quando ouviu Paulo explicar sobre o julgamento de Deus.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,festival,"festa, festivais, festas",,"Os festivais são dias especiais em que as pessoas se lembram de seu passado ou honram a Deus. As pessoas podem fazer uma refeição juntas como parte de um banquete. Israel tem sete festas anuais, incluindo a festa da Páscoa.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Festo,,,"Festo substituiu Félix como governador romano da Judéia no ano 62. Ele deixou Paulo na prisão em Cesária, até enviar Paulo a Roma para ser julgado por César, o imperador romano.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,figueira,figos,figo (R); ,A figueira é uma espécie de árvore frutífera. Seu fruto é muito doce.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,tolo,"tolice, tolos, enganado","aquele que realmente não conhece as coisas (G); 
","Tolo é aquele que faz escolhas ruins/estúpidas/más, mesmo quando os outros o alertam. Deus quer que os tolos se arrependam, aprendam a sabedoria e o obedeçam. O livro de Provérbios muitas vezes contrasta pessoas tolas e pessoas sábias.",sábio,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,perdoar,"perdoado, perdoa, perdão",apagar (R); colocar o braço em volta dos ombros (S-I);,"Perdoar é escolher não punir aqueles que pecaram ou desobedeceram. Quando perdoados, aqueles que erraram não têm mais culpa ou vergonha pelo que fizeram.","culpa, vergonha, purificação, santificação",,,,,,,,,,,,,,,,,,,,,,,,,,
t,formar,"formado, forma",,"Formar algo significa (1) mudar sua forma para se parecer com outra coisa (por exemplo, argila pode ser moldada para se parecer com a imagem de algo) ou (2) reunir pessoas em um novo grupo.","esculpir, construir",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,raposa,raposas,raposa (G); ,"A raposa é um animal selvagem semelhante a um cachorro pequeno, com pelo bonito, cauda espessa, dentes afiados e garras não retráteis. As raposas caçam furtivamente como um gato e comem animais menores como ratos, camundongos, cobras e coelhos. Algumas culturas usam a raposa de forma metafórica para descrever atributos como beleza, astúcia, sabedoria ou esperteza. Por exemplo, se uma mulher é bonita, ela pode ser chamada de raposa. O rei Herodes foi chamado de raposa, o que significa que Herodes era astuto ou perigosamente esperto.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,incenso,,"substância pegajosa cuja fumaça cheira bem (R);
  pó cozido/queimado e sua fumaça cheira bem e chama-se incenso (K)","Incenso é um pó de cheiro bom feito da seiva de uma árvore. Quando é queimado, exala um cheiro doce. Como os judeus tinham que trazê-lo de longe, era caro.",incenso,good smelling powder made of sap of a tree (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,fornalha,forno,fogo (W);,"Uma fornalha é um lugar ou grande caixa na qual se queima madeira ou outro combustível para produzir alto calor, como um forno para curar tijolos ou cerâmica. (Os babilônios eliminavam os cadáveres por cremação, queimando-os em uma fornalha.) (Os artesãos usavam fornalhas para purificar metais como prata ou ouro.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gadareno,Gadarenos,,Gadara era uma região perto do lago da Galileia onde havia muitos gentios que comiam carne de porco.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Galiléia,,,A Galiléia era uma região ou província na parte norte de Israel em torno de um lago muito grande chamado Mar da Galiléia. Tem muitos peixes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Geazi,,,"Geazi era servo do profeta Eliseu. Certa vez, ele pecou ao pedir um presente a um oficial sírio que Eliseu havia curado de lepra.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,gentio,gentios,"quem não é um judeu(W); 
pessoas que não são judeus (R); ","Gentios são todos os grupos e indivíduos que não são nem israelitas nem judeus. No tempo de Jesus, a maioria dos gentios adorava falsos deuses e ídolos. (Antes de Jesus retornar ao céu, ele ordenou a seus apóstolos que fossem fazer discípulos para ele entre todas as nações gentias. )
Às vezes, o termo gentio é usado de forma genérica no Novo Testamento para se referir a uma categoria de pessoas que não acreditam ou não pertencem a Deus","Judeu, Hebreus","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of ""sinner"" or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of ""belonging to God"" or ""believer"" (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",,,,,,,,,,,,,,,,,,,,,,,,
n,Gibeá,"Gibeão, Gibeonitas",,Gibea era uma cidade pagã em Canaã quando Josué e os israelitas estavam conquistando a terra. (Os gibeonitas enganaram Josué para fazer um pacto de paz com eles.),,,Let the Bible tell the story.,07 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Gibeá,"Gibeão, Gibeonitas",,"Os gibeonitas eram cananeus da cidade de Gibeá que fingiram ser de fora de Canaã, a fim de fazer as pazes com Josué e seu exército. Como os israelitas se esqueceram de perguntar a Deus, foram enganados pelos gibeonitas e fizeram as pazes com eles, embora fossem realmente cananeus.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gideão,,,"Gideão viveu cerca de 1200 anos antes de Jesus. Ele era um fazendeiro que se tornou um líder ou juiz sobre os israelitas, depois de liderar um pequeno exército contra um grande exército inimigo. (Deus assustou o grande exército para que ele fugisse.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,glória,"gloficado, glorificar","luz;
grandeza;
louvor (dar glória a Deus);
força e/ou beleza (G);
alá (W); decoração/beleza (R);","Glória significa (1) grande poder, (2) luz brilhante, (3) beleza e (4) a presença de Deus.",,References to Allah/islam not helpful in PNG ,,,,,,,,,,,,,,,,,,,,,,,,,
t,bode,bodes,animal parecido com um veado de pelos longos (G);,"As cabras (ou bodes) são animais gentis cuja carne e leite as pessoas comem. As cabras geralmente habitam os mesmos rebanhos com ovelhas. As caudas das ovelhas pendem para baixo, enquanto as caudas das cabras se enrolam para cima. Os bodes adultos, chamados carneiros, lutam usando seus chifres e são um símbolo para as nações que vão à guerra.","ovelha, pastor",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Deus,Deus Eterno,"eterno;
O Criador;
o Deus que vive/viveu desde sempre (G); Deus (R); Allah (W);","Deus é o Grande Espírito Eterno que criou tudo e todas as criaturas vivas. Deus governa o céu e a terra. Ele ordenou a todos que abandonassem seus deuses e adorassem somente a ele. (Não há outro deus tão grande quanto ele.) (Este Grande Deus veio ao mundo como um ser humano, Jesus, o Messias.)","Senhor, ídolo, deuses",Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,ouro,dourado,,Ouro e prata são metais brilhantes que muitos países usam como dinheiro e usam para fazer joias. A Arca da Aliança israelita era coberta com ouro brilhante. O ouro é extraído da terra. Para purificá-lo é necessário aquecê-lo com fogo bem quente até que derreta e a sujeira possa ser separada dele.,"prata,",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gomorra,,,"Gomorra era uma cidade perto de Sodoma onde Ló, sobrinho de Abraão, escolheu morar. A população era tão má, que Deus a destruiu com fogo que caiu do céu (cerca de 2000 anos antes de Jesus viver).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,bom,,"bom (G);
","As pessoas chamam de ""bom"" tudo e qualquer pessoa que elas avaliam como certa, verdadeira, honesta, gentil ou útil. Ser ""justo"" ou ""correto"" significa ter uma boa posição perante Deus ou seguir suas leis.","certo, justo",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,evangelho,boas novas,"boa notícia (W);
bela fala (G); boa fala (R);
  boa conversa (K);","Evangelho significa Boas Novas. É a mensagem (dos apóstolos de Jesus) que Deus perdoa os pecados e dá vida eterna a todos que se arrependem e colocam sua fé em Jesus, que morreu na cruz, foi sepultado, ressuscitou três dias depois e apareceu a muitas testemunhas oculares",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,governador,,"pessoa governante (de uma região);
chefe (do povo de um país) (G); grande líder do governo (R); kilifa (W do árabe)",Governadores são funcionários que governam uma região ou parte de uma nação. Apenas um rei tem mais poder.,"rei, líder",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,graça,gracioso,"perdoar; fazer o bem;
vir/cair sobre (ajudar/ajudar/mostrar misericórdia a alguém);
e ninguém paga por isso (W);
pena e paciência (pelas pessoas) (G); amor/pena (K); gostar (K)
","Graça é o amor que Deus tem por nós, humanos, pelo qual ele nos perdoa, nos resgata do mal, nos ajuda a levar uma vida melhor, nos dá poder para servi-lo e nos leva ao seu reino eterno.","perdoar, misericórdia, amor","also, make good (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,uvas,uva,sementes de vinho (R); ,"As uvas são um tipo de fruta que cresce em uma videira, não em uma árvore. Seu suco é usado para fazer vinho. (Os judeus costumavam plantar muitas videiras em suas fazendas e cultivá-las para que produzissem muitos frutos.)","videira, vinho",reseng not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Grécia,Grego,,"A Grécia é um país da Europa. As cidades de Atenas e Corinto estão na Grécia. Cerca de 350 anos antes de Jesus, a Grécia conquistou Israel e muitos outros países. A maioria desses países começou a falar e ler a língua grega. Os livros do Novo Testamento são escritos em grego. O grego era a língua dos estudiosos, não a língua materna das pessoas comuns",,"Greek was language of scholars, not ordinary people's mother tongue (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,culpa,culpado,"a condição de ter feito algo ruim (G);
aquela morte merecedora (W);","Culpa significa que alguém violou ou infringiu uma lei. Uma pessoa culpada é alguém que quebrou uma lei. Todos os humanos se tornam culpados perante Deus quando começam a violar suas leis. Todos os culpados devem ser punidos. A consequência da culpa é a punição. Normalmente, uma pessoa que é culpada sentirá vergonha.","perdoar, vergonha, santificar","this is an exception, very strong: that deserving death (W); (Hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Agar,Hagar,,"Hagar viveu há cerca de 2.000 anos. Ela era escrava na casa de Sara, mulher de Abraão. Na época em que Sara ainda não tinha um filho, ela pediu a Abraão que se deitasse com Hagar, e Hagar deu à luz um filho chamado Ismael. (Mas Ismael não era o filho que Deus havia prometido dar a Abraão com Sara. Doze anos depois, Sara deu à luz um filho com Abraão que o chamou de Isaque. Isaque é o filho que Deus havia prometido.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,granizo,,pedras de gelo; chuva de pedras de gelo;,O granizo consiste em pedaços congelados de água (gelo) que caem do céu como chuva; chuva forte e congelada.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hamã,,,"Hamã era descendente do rei pagão Agague, que odiava Israel. Quando o rei persa Xerxes o nomeou oficial, Hamã planejou matar Mordecai e todos os judeus do Império Persa.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Ana,,,"Ana era uma das esposas de Elcana. Ela não teve filhos até que orou ao Senhor em Siló. Ela deu à luz um filho chamado Samuel, que se tornou um profeta sobre Israel. (O nome Ana significa ""graça"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Hanum,,,Um rei amonita que envergonhou os embaixadores de Davi.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Harã,,,Haviam vários homens e uma cidade chamada Harã. Um certo Harã era irmão de Abraão e pai de Ló. A cidade chamada Harã foi onde morreu o pai de Abrão.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,céu,céus,"o além;
céu;
bem acima (G); paraíso (R); ","Céu significa tudo o que está acima do solo ou da terra, incluindo o ar, as nuvens, o céu, a cidade invisível de Deus e todas as criaturas que ali habitam.",terra,try to separate heaven and sky; asaman not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebreus,"Judeu, judeus, israelitas","pessoa judia; língua judaica;
","Hebreus são os descendentes de Abraão (as doze tribos) e sua língua (hebraico), a quem Deus escolheu para ser sua nação especial. Os hebreus mais tarde foram chamados de israelitas (depois que Deus mudou o nome de Jacó para Israel) e ainda mais tarde de judeus (porque muitos israelitas viviam em Judá/Jewdah).","gentio, israelita, judeu",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebrom,,,"Haviam duas cidades (cidades) chamadas Hebrom. Abraão e Jacó adoraram a Deus perto de Hebrom, em Canaã. O rei Davi costumava ir a Hebrom, em Judá.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,rebanho,rebanhos,,"Um rebanho é um grupo de animais, especialmente animais domesticados (não selvagens) com cascos que as pessoas (pastores) mantêm juntos e cuidam como gado para se sustentar.","pastor, gado",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hermes,,,"Hermes, também chamado de Mercúrio, era um deus grego e romano que, acreditavam os pagãos, servia como mensageiro de outros deuses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Herodes,,,"Herodes é o nome de família dos reis que os romanos colocaram no poder sobre partes de Israel. Quatro desses reis foram (1) Herodes, o Grande, na Judéia (rei durante o tempo em que Jesus era um bebê), (2) Herodes Antipas, na Galiléia (que governou durante o tempo em que Jesus estava pregando), 3) Herodes Agripa, o Primeiro, na Judéia (que governou após a ressurreição de Jesus e perseguiu os primeiros cristãos) e (4) Herodes Agripa II na Judéia (que governou durante o tempo em que Paulo estava sendo julgado).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Sumo Sacerdote,,líder dos que dão a Deus (R); chefe dos sacerdotes (U),"O Sumo (Chefe) Sacerdote era o líder de todos os sacerdotes. O Sumo Sacerdote era a única pessoa autorizada a entrar no Lugar Santíssimo no Tabernáculo ou Templo, onde ele sacrificaria a Deus por seus próprios pecados e pelos pecados que o povo havia cometido.",sacerdote,other language: head man of priests (Urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,santo,"santidade, santos, santíssimo","único;
separado / especial / sagrado;
puro ou sem pecado/culpa/falha moral;
pertencer a Deus (associado a Deus);
ficar longe de coisas/ações ruins (G);
Puro (W); pertencente a Deus (R); limpo (R); reta (k);","Santo significa (1) puro, limpo, (2) perdoado; (3) único, diferente dos outros; separado; dedicado ou pertencente a Deus, e (4) fiel a Deus. Jesus foi chamado de Santo, e o próprio Deus é chamado de Espírito Santo. (A Bíblia chama os cristãos de santos, o que significa pessoas santas.)","Espírito Santo, pecado, pecador, santo",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Espírito Santo,"Espírito de Deus, Espírito de Jesus, Espírito Santo de Deus","Espírito de Deus;
o sopro de Deus;
o Atrativo/Bom Espírito (G);
Espírito de Jesus;
A Respiração Pura (W); Espírito Reto (R); brilhante/respiração perfeita/vento (U)","Porque Deus é santo e Deus é um Espírito, a Bíblia chama Deus de Espírito Santo. Assim como Jesus era Deus conosco em forma visível, o Espírito Santo é Deus conosco em forma invisível. (Jesus prometeu que o Espírito Santo viria ficar com aqueles que têm fé em Jesus.)",espírito,other language: bright/perfect breath/wind (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,honra,"honorável, honrado","honrar/falar bem de (G);
ficar sob autoridade / ter o primeiro lugar / exaltar / elogiar o nome de / fazer feliz (U)t","Honrar alguém é dizer quão grande ou boa é uma pessoa, ou mostrar respeito pela idade, sabedoria ou autoridade de uma pessoa.","adorar, louvar, agradecer","other language: stay under authority (urt), have first place (urt), lift up/praise name of (urt), make happy (urt)",GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,cavalo,cavalos,,"Os cavalos são animais grandes, fortes e rápidos que os humanos podem montar. Eles podem ser feitos para puxar carroças e carruagens, ou para transportar cargas. Os cavalos podem ser de vários tamanhos, mas geralmente são mais baixos que os camelos e maiores que os burros.",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Hosana,,osaana (R); louvado / se alegre com (U);,"Hosana é uma saudação que os judeus costumavam gritar para dar honra ao seu rei. Significa ""Que Deus o salve!"".",,"praise (urt), be happy with (urt)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hissopo,,(pequena) árvore chamada hissopo(K); ,O hissopo é uma espécie de planta. Os sacerdotes de Israel costumavam mergulhar uma folha de hissopo no sangue de um sacrifício e depois borrifar em pessoas ou coisas para torná-las sagradas aos olhos de Deus.,,"Hyssop is a shrub, not a tree.",,,,,,,,,,,,,,,,,,,,,,,,,
t,ídolo,"ídolos, deuses,","imagem (esculpida/feita pelo homem) adorada pelas pessoas;
imagem;
falso deus (G, K);
escultura (W, R)","Ídolos são objetos que as pessoas desejam mais do que desejam Deus. Um ídolo é uma imagem visível criada para representar algo que normalmente não é visível. Algumas pessoas esculpem ídolos em madeira ou pedra. As pessoas acreditam que um deus ou um espírito vem e habita no ídolo, então eles oram ao ídolo, supondo que o deus os ouvirá.","Deus,",,"False only in the sense that they are not Yahweh, the incomparable Creator. The spirits of gods do exist and pagans do pray to them.",,,,,,,,,,,,,,,,,,,,,,,,
t,incenso,,"substância pegajosa cuja fumaça cheira bem (R);
  pó cozido/queimado e sua fumaça cheira bem e chama-se insens (K);",O incenso é a seiva ou partes de uma árvore que tem um cheiro doce quando queimada. Muitas religiões queimam incenso enquanto adoram seus deuses.,incenso,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ferro,,,"O ferro é um metal forte útil para fazer ferramentas, armas, carroças de guerra ou carruagens (para serem puxadas por cavalos) e correntes.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Isaque,,,"Isaque viveu cerca de 1900 anos antes de Jesus. Isaque era o filho que Deus prometeu a Abraão que sua esposa Sara daria à luz. Isaque também é o filho que Abraão ofereceria em sacrifício ao Senhor Deus. (Quando Sara ouviu a promessa de Deus de que ela daria à luz um filho, embora já fosse velha, ela riu. Isaque significa riso.)",,,The spirit of Antichrist has promulgathed a false docrine that Abraham offered his bastard son Ishmael.,,,,,,,,,,,,,,,,,,,,,,,,
n,Isaías,,,"Isaías viveu cerca de 800 anos antes de Jesus. Ele frequentemente falava com os reis de Judá e escreveu o Livro de Isaías, fazendo muitas previsões sobre o Messias. Jesus disse que Isaías escreveu sobre ele.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Israel,"Israelita, Israelitas",,"Os israelitas são descendentes de Jacó, cujo nome se tornou Israel. Os israelitas eram membros do país chamado Israel. (Depois que as tribos invadiram Canaã, eles chamaram sua nação de Israel.) Depois que o país se dividiu em dois, os que habitavam no norte foram chamados de israelitas e os do sul, de judeus.","Hebreu, Judeu",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Jabim,,,"Jabim era um rei cananeu cujo exército oprimia os israelitas. Depois de orarem ao Senhor, os israelitas derrotaram o exército de Jabim e o mataram.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Jacó,,,"Jacó viveu cerca de 1850 anos antes de Jesus. Ele era filho de Isaque e neto de Abraão. Depois que Jacó lutou com um anjo de Deus, o anjo deu a ele um novo nome, Israel. Os doze filhos de Israel se tornaram os ancestrais das doze tribos de Israel. (Assim, os israelitas às vezes são chamados de Casa de Jacó.)",Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jael,,,"Jael era uma mulher queneia cujo clã vivia em Israel, mas estava em paz com os cananeus. Quando Sísera fugiu do exército israelita, ele se refugiou na tenda de Jael, onde ela o matou enquanto ele dormia. (O nome Jael significa ""O Senhor é Deus"".)",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
