,term,Alternate forms and synonyms. (separate w commas),Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
t,భూమి,,భూమి; ఈ నేల; నేల (G);,"భూమి అంటే (1) మనం మానవులు నివసించే నేల లేదా భూభాగం, (2) ఆకాశం క్రింద ఉన్న ప్రతిదీ, (3) మట్టి లేదా నేల, మరియు (4) మరణించిన వారి భూగర్భ నివాసం.","లోకం, స్వర్గం",,,
n,ఏదేను,,,"ఏదెను అనేది ఒక మనోహరమైన ప్రదేశం పేరు, అది ఒక చాలా పెద్ద అందమైన తోట. ఆదాము మరియు హవ్వ దేవునికి వ్యతిరేకంగా పాపం చేయడానికి ముందు, దేవుడు ఇతర ఆత్మలతో మరియు మొదటి మానవులతో అక్కడ కలుసుకునేవాడు.",,,GC 15-Feb-2019,
n,ఎదోము,,,"ఏశావు వంశస్థులు స్థిరపడిన దేశమే ఎదోము, ఇది ఇశ్రాయేలుకు తూర్పున ఉంది. ఎదోమీయులు అబద్ధపు దేవతలను ఆరాధించి, ఇశ్రాయేలుకు శత్రువులుగా మారారు. ఎదోము అంటే 'ఎరుపు'.",,,GC 15-Feb-2019,
n,ఈజిప్ట్,"ఈజిప్షియన్లు, ఈజిప్షియన్లు",మిశ్రా (అరబిక్ నుండి W),"ఈజిప్టు ఇశ్రాయేలుకు పశ్చిమాన ఉన్న ఒక దేశం. ఇశ్రాయేలీయులు నాలుగు వందల సంవత్సరాలు ఈజిప్టులో నివసించారు, అక్కడ వారు బానిసలుగా మారారు. ఈజిప్టు వందల సంవత్సరాలు ఇశ్రాయేలు దేశాన్ని పరిపాలించింది.",,Arabic ref.,,
t,పెద్దవాడు,పెద్దలు, వృద్ధులు (జి); నాయకులు (డబ్ల్యు),"పెద్దలు అంటే ఇతరులు గౌరవించే మరియు విధేయత చూపించే వృద్ధులు. పెద్దలు తరచుగా ఒక మండలిగా సమావేశమై ముఖ్యమైన విషయాలపై నిర్ణయాలు తీసుకుంటారు. చర్చిలలో పర్యవేక్షకులు మరియు సేవకులు, లేదా పాస్టర్లు మరియు డీకన్లు అని పిలువబడే పెద్దలు ఉంటారు.",నాయకుడు,,GC 23-Feb-2019,
n,ఎలీమెలెకు,ఎలిమిలేచ్,,"ఎలీమెలెకు నయోమి భర్త. అతను ఒక ఇశ్రాయేలీయుడు, మోయాబు దేశానికి వలస వెళ్లి అక్కడే మరణించాడు. (ఎలీమెలెకు అనే పేరుకు 'నా దేవుడే రాజు' అని అర్థం.)",,,GC 19-Feb-2019,
n,ఎలీ,,,ఏలీ షిలోహ్‌లోని ఇశ్రాయేలీయుల ఆరాధన గుడారంలో ఒక యాజకుడు. ప్రవక్తగా మారిన సమూయేలు అనే బాలుడిని పెంచింది ఆయనే. (ఏలీ అనే పేరుకు 'నా దేవుడు' అని అర్థం.),,,,GC 7/7/2019
n,ఎలీ,,,"ఇశ్రాయేలుకు ఆలయం నిర్మించకముందు, ఏలీ షిలోహులో యెహోవాకు యాజకుడిగా ఉండేవాడు. తన సొంత కుమారులు నిజాయితీ లేనివారు అయినప్పటికీ, ఆయన ప్రవక్త సమూయేలును చిన్నప్పటి నుండి పెద్దవాడిగా పెంచాడు. (ఏలీ అనే పేరుకు నా దేవుడు అని అర్థం.)",,,GC 07-Feb-19,
n,ఏలీయా,,ఇలియాస్ (పశ్చిమ),"ఏలీయా యేసుకు సుమారు 800 సంవత్సరాల ముందు జీవించాడు. అతను దేవుని ప్రవక్త, ఇశ్రాయేలులో ఒక దుష్ట రాజును మరియు విగ్రహాలను పూజించే వారందరినీ ధైర్యంగా గద్దించాడు. (మలాకీ గ్రంథం ప్రకారం, రాబోయే మెస్సయ్యను స్వాగతించడానికి ఇశ్రాయేలును సిద్ధం చేయడానికి ఏలీయా తిరిగి రావాలి.) (యోహాను బాప్తిస్మమిచ్చువాడు అనేక విధాలుగా ఏలీయాను పోలి ఉన్నాడు.) (ఏలీయా అనే పేరుకు 'యెహోవాయే దేవుడు' అని అర్థం.)",ఎలీషా,Arabic ref.,GC 07-Feb-19,
n,ఎలీషా,,అలియాసా (పశ్చిమ),ఎలీషా యేసుక్రీస్తుకు సుమారు 800 సంవత్సరాల ముందు జీవించాడు. అతను ప్రవక్త అయిన ఏలీయాచే నియమించబడిన దేవుని ప్రవక్త. ఎలీయా కంటే ఎలీషా ఎక్కువ అద్భుతాలు చేశాడు.,ఎలిజా,Arabic ref.,,
n,ఎల్కానా,,,ఎల్కానా అనే పేరు గల వ్యక్తులు చాలామంది ఉన్నారు. వారిలో ఒక ఎల్కానా హన్నాకు భర్త మరియు ప్రవక్త శామ్యూల్‌కు తండ్రి. (ఎల్కానా అనే పేరుకు 'దేవుడు సృష్టించాడు' అని అర్థం.),,,GC 07-Feb-19,
t,చక్రవర్తి,చక్రవర్తులు,,"చక్రవర్తి అంటే ఒక సామ్రాజ్యానికి రాజు లేదా అత్యున్నత పాలకుడు, అతను చిన్న చిన్న రాజులపై పరిపాలన సాగిస్తాడు. కొన్ని దేశాలు తమ చక్రవర్తిని దైవంగా లేదా దేవుడిగా భావించాయి.","రాజు, ఫరో, సీజర్",,,
t,సామ్రాజ్యం," రాజ్యం,", అతని భూమిలోని అన్ని విభాగాలు (G);,"సామ్రాజ్యం అంటే అనేక నగరాలు, రాష్ట్రాలు మరియు/లేదా దేశాలతో కూడిన ఒక విస్తారమైన సమూహం, దానిపై ఒకే సర్వోన్నత పాలకుడికి (చక్రవర్తికి) అధికారం ఉంటుంది. బైబిలు కాలంలో బాబిలోను, అస్సిరియా మరియు రోమ్ సామ్రాజ్యాలకు ఉదాహరణలు.","దేశం, దేశం, ప్రాంతం, చక్రవర్తి",,"GC 08-Feb-19
RR updated",
n,ఎఫెసీయులకు,ఎఫెసీయులు,,"ఎఫెసు అనేది ఆసియా మైనర్‌లో సముద్రానికి సమీపంలో ఉన్న ఒక పెద్ద నగరం, అక్కడ పౌలు కొత్త సంఘాలను స్థాపించాడు. తర్వాత అతను ఎఫెసీయులకు ఒక పత్రిక రాశాడు. ప్రకటన గ్రంథంలో యోహాను ద్వారా యేసు కూడా ఎఫెసీయులకు ఒక సందేశం పంపాడు.",,,,GC 7/7/2019
n,ఎఫ్రాయిమ్,,,ఎఫ్రాయిము యోసేపు ఇద్దరు కుమారులలో చిన్నవాడు. ఎఫ్రాయిము ఇశ్రాయేలు గోత్రాలలో ఒకదానికి పూర్వీకుడయ్యాడు. (ఎఫ్రాయిము అనే పేరుకు 'ఫలవంతమైనది' అని అర్థం.),,,GC 23-Feb-2019,
n,ఎపికూరీయులు,ఎపిక్యూరియన్,,"ఎపిక్యూరియన్లు యేసుక్రీస్తుకు సుమారు 300 సంవత్సరాల ముందు జీవించిన తత్వవేత్త ఎపిక్యూరస్ బోధనలను అనుసరించారు. నొప్పి మరియు భయాన్ని తప్పించుకుంటూ, ప్రజలు జీవితంలో ఆనందాన్ని వెతుక్కోవాలని ఆయన బోధించారు.",,,,
n,ఏశావు,,ఎసావు (పశ్చిమ),"ఏశావు యేసుకు సుమారు 1900 సంవత్సరాల ముందు జీవించాడు. అబ్రహాము కుమారుడైన ఇస్సాకుకు ఏశావు మరియు యాకోబు అనే కవల కుమారులు ఉన్నారు. జ్యేష్ఠుడైన ఏశావు, తెలివితక్కువగా తన జ్యేష్ఠత్వపు హక్కును తన సోదరుడైన యాకోబుకు అమ్మివేశాడు. (యాకోబు కుమారులు ఇశ్రాయేలీయులుగా, మరియు ఏశావు కుమారులు ఎదోమీయులుగా మారారు.)",ఎదోము,arabic ref.,,
n,ఎస్తేరు,,,"ఎస్తేరు తన బంధువైన మొర్దెకైచే పెంచబడిన ఒక యూదు అనాథ. పర్షియా రాజు జెర్సెస్‌ ఎస్తేరును తన కొత్త రాణిగా చేసుకున్న తర్వాత, ఆమె చాలా మంది యూదులను మరణం నుండి రక్షించింది. (ఎస్తేరు అనే పేరుకు నక్షత్రం అని అర్థం. ఆమె యూదు పేరు హదస్సాకు గొరివిచెట్టు అని అర్థం.)",,,GC 08-Mar-2019,
t,నపుంసకుడు,నపుంసకులు,కుల విచ్ఛేదనం చేయబడిన; పురుషుడు (R); ఆ విధంగా ఉండటానికి కారణమైన అవివాహిత పురుషుడు (G); చాంబర్‌లైన్ (W);,"నపుంసకుడు అంటే వంధ్యత్వం కలిగించడం కోసం బీజకోశాలు తొలగించబడిన పురుషుడు. అన్యమత దేశాలు కొన్నిసార్లు బానిసలపై లేదా ప్రభుత్వ సేవ వంటి కొన్ని రకాల పనుల కోసం శిక్షణ ఇవ్వబడే వారిపై ఈ రకమైన అంగచ్ఛేదాన్ని ఆచరించేవారు. ఇది యూదుల ఆచారం కాదు, ఎందుకంటే పురుషులను నపుంసకులుగా మార్చడాన్ని దేవుని ధర్మశాస్త్రం నిషేధిస్తుంది.",సేవకుడు,"take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,
n,హవ్వ,,ఆవా (అరబిక్ నుండి W),"హవ్వ యేసుకు సుమారు 4000 సంవత్సరాల ముందు జీవించింది. హవ్వ ఆదాము భార్య, మానవులందరికీ మొదటి తల్లి. సాతాను ఆదామును మరియు హవ్వను శోధించినప్పుడు, వారు దేవుని ఆజ్ఞను ధిక్కరించారు. అప్పటి నుండి, మానవులందరూ కూడా పాపం చేస్తున్నారు మరియు మరణించవలసి వస్తుంది.",ఆడమ్,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",
t,దుష్టుడు,"దుష్ట, పాపాత్మకమైన, దుష్టత్వం",,చెడు విషయాలు అంటే దేవుడు నిషేధించినవన్నీ; దుర్మార్గులు అంటే దేవుని ఆజ్ఞలను ధిక్కరించే వారు; దుష్టశక్తులు అంటే ప్రజలు చెడు గురించి ఆలోచించేలా మరియు చెడు పనులు చేసేలా ప్రేరేపించే అదృశ్య జీవులు.,,,GC 15-Feb-2019,
t,విశ్వాసం,"నమ్ము, నమ్మడం, నమ్మడం, నమ్మడం, నమ్మకం, నమ్మకం",(ఎవరికైనా లేదా దేనికైనా) అవును అని చెప్పడం; అంగీకరించడం; అంగీకరించడం; నిజమని నమ్మడం); నమ్మకం; నమ్మకం (R); నమ్మకం (W); హృదయం/కాలేయం (అంతర్గత జీవి) దేనిపైనైనా వేలాడుతోంది (PNG),"విశ్వాసం అంటే (1) సత్యాన్ని నమ్మడం, (2) దేవునిపై లేదా క్రీస్తుపై నమ్మకం ఉంచడం, మరియు (3) యేసుకు నమ్మకంగా ఉండటం. పాత మరియు కొత్త నిబంధనలు రెండింటి ప్రకారం, దేవుడు తనపై మరియు తన వాగ్దానాలపై విశ్వాసం ఉంచేవారిని నీతిమంతులుగా పరిగణిస్తాడు.","నమ్మకం, సందేహం, అవిశ్వాసం",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",
t,ఉపవాసం,, ఫాస్ట్ (R);,"ఉపవాసం ఉండటం అంటే కొంత సమయం పాటు ఏమీ తినకుండా ఉండటం. యూదులు పశ్చాత్తాపానికి, దుఃఖానికి లేదా దేవుని ముందు వినయానికి గుర్తుగా ఉపవాసం ఉండేవారు. క్రైస్తవులు కొన్నిసార్లు దేవుని పట్ల ప్రార్థనలో భాగంగా ఉపవాసం ఉంటారు.",,,,
t,పండుగ,"పండుగ, పండుగలు, పండుగలు, విందు", ఒక మాగ్నిఫికేషన్ (W); గుర్తుంచుకో (W); పెద్ద భోజనం / ఆహారం; పెద్ద ఆరాధన దినం (K); విందు (R); పెద్ద నృత్యం (పండుగ) / పెద్ద భోజనం (విందు) (G);,"పండుగ అంటే చాలా మంచి ఆహారం మరియు పానీయాలతో కూడిన ప్రత్యేక భోజనాలు. సాధారణంగా ఒక ప్రత్యేక సందర్భంలో విందు వడ్డిస్తారు. ఇశ్రాయేలీయులు వార్షిక వేడుకల కోసం పండుగలు చేసుకునేవారు, ఆ సమయంలో కుటుంబాలు దేవుని మంచితనాన్ని జ్ఞాపకం చేసుకోవడానికి కలిసి వస్తారు. ఇశ్రాయేలీయులు యెరూషలేములో కొన్ని పండుగలను ఆచరించాల్సి వచ్చింది.",పండుగ,,,
t,ప్రతిష్ఠా పండుగ,"హనుకా, దీపాల పండుగ", శుద్ధీకరణ (W); వారు దాన గృహాన్ని తెరిచిన రోజును గుర్తుచేసుకున్నప్పుడు విందు (R); వారు దాన గృహాన్ని తెరిచిన రోజును గుర్తుంచుకునేలా ఒక పెద్ద ఆరాధన దినం (K),"క్రీస్తుకు పూర్వం 165వ సంవత్సరంలో, ఇశ్రాయేలీయులు (యూదులు) తమ శత్రువుల నుండి తమ దేవాలయాన్ని తిరిగి స్వాధీనం చేసుకుని, దానిని మళ్ళీ దేవునికి అంకితం చేశారు. యూదులు ఈ వార్షిక పండుగను హనుక్కా అని, మరియు 'దీపాల పండుగ' అని పిలుస్తూ ప్రతి సంవత్సరం జరుపుకుంటారు.",,other language: why house of giving? (Hilkka),,
t,పెంతెకోస్తు పండుగ,పెంతెకొస్తు, పెంటికోస్ (R) దినం;,"పెంతుకొస్తు అంటే యాభై అని అర్థం. ఈ పంటల పండుగ ప్రతి సంవత్సరం పాస్ ఓవర్ పండుగ జరిగిన 50 రోజుల తర్వాత, మే నెలలో వస్తుంది. క్రీ.శ. 33వ సంవత్సరంలో, పెంతుకొస్తు పండుగ రోజునే పరిశుద్ధాత్మ మొదటిసారిగా యేసును విశ్వసించిన వారందరిపైకి దిగివచ్చింది.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",
t,గుడారాల పండగ,"పర్ణశాలల పండుగ, గుడారాల పండుగ",యూదుల ఆరాధన దినాన్ని వారు ఆశ్రయాల పండుగ (R) అని పిలుస్తారు; ఆశ్రయాల ఆరాధన యొక్క పెద్ద దినాలు (K); గుడారాల పండుగ అని పిలువబడే ఆరాధన కోసం పెద్ద దినం,"అక్టోబర్ లేదా నవంబర్‌లో జరిగే వార్షిక గుడారాల పండుగ సమయంలో, పంట కోత పూర్తయినందుకు యూదులు ఆనందిస్తారు. అరణ్యంలో సంచరిస్తున్నప్పుడు నలభై సంవత్సరాల పాటు గుడారాలలో నివసించిన తమ పూర్వీకులను గౌరవిస్తూ, వారు ఒక వారం పాటు తాత్కాలిక గుడారాలలో నివసిస్తారు.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,
t,పస్కా పండుగ,పాస్ ఓవర్, గో పాస్ట్ (R) పండుగ; గో పాస్ట్ (K) ఆరాధన యొక్క పెద్ద రోజు;,"మార్చి లేదా ఏప్రిల్ నెలలో జరిగే వార్షిక పస్కా పండుగ సమయంలో, యూదులు తమ పూర్వీకులు ఐగుప్తు దేశంలో బానిసత్వం నుండి ఎలా తప్పించుకున్నారో గుర్తు చేసుకుంటారు. ఆ సమయంలో, దేవుడు ఒక గొర్రెపిల్లను చంపి, దాని రక్తాన్ని తమ ఇంటి ముందు ద్వారబంధాలకు పూసిన ఇళ్లను తప్పించి, ఐగుప్తులోని ప్రతి ఇంటిలో ఉన్న పెద్ద కుమారుడిని చంపడానికి తన దూతను పంపుతానని హెచ్చరించాడు. అక్కడ ఆ దూత ఎవరికీ హాని చేయకుండా దాటిపోయాడు.",పులియని రొట్టెల పండుగ,,,
t,పులియని రొట్టెల పండుగ,పులియని రొట్టె, రొట్టెల పండుగలో పులియనిది లేదు (R); రొట్టెల ఆరాధన యొక్క పెద్ద రోజులో పులియనిది లేదు (K);,"పులియని రొట్టెల పండుగ ప్రతి సంవత్సరం పస్కా పండుగ తర్వాత ఏడు రోజుల పాటు జరుగుతుంది. ఈ ఏడు రోజులలో, యూదులు తమ పూర్వీకులు ఈజిప్టు నుండి ఎలా తప్పించుకున్నారో గుర్తుచేసుకోవడానికి, ఈస్ట్ లేని రొట్టెలను తింటారు (వారు ఈస్ట్ వేసి రొట్టెలు కాల్చడానికి కూడా సమయం లేకుండా అంత వేగంగా పారిపోయారు).",పాస్ ఓవర్,పస్కా పండుగ,,
n,ఫేలిక్సు,,,"ఫెలిక్స్ క్రీ.శ. 52 మరియు 60 సంవత్సరాల మధ్య యూదయకు రోమన్ గవర్నర్‌గా ఉన్నాడు. ఒక నిజాయితీ లేని వ్యక్తి అయిన అతను, పౌలును కైసరియాలో రెండు సంవత్సరాల పాటు జైలులో ఉంచాడు. ఒకసారి పౌలు దేవుని తీర్పు గురించి వివరిస్తుండగా విని, అతను భయపడ్డాడు.",,,,GC 7/7/2019
t,పండుగ,"పండుగలు, పండుగలు, విందులు",,పండుగలు అనేవి ప్రజలు తమ గతాన్ని గుర్తుచేసుకునే లేదా దేవుడిని గౌరవించే ప్రత్యేకమైన రోజులు. పండుగలో భాగంగా ప్రజలు కలిసి భోజనం చేయవచ్చు. ఇశ్రాయేలులో పస్కా పండుగతో సహా ఏడు వార్షిక పండుగలు ఉన్నాయి.,,,GC 08-Mar-2019,
n,ఫెస్తు,,,"62వ సంవత్సరంలో ఫెలిక్స్ స్థానంలో యూదయపై రోమన్ గవర్నర్‌గా ఫెస్తు వచ్చాడు. పౌలును కైసరయలో జైలులో ఉంచి, రోమన్ చక్రవర్తి అయిన కైసరు చేత తీర్పు తీర్చబడటానికి పౌలును రోమ్‌కు పంపే వరకు ఫెస్టస్ వచ్చాడు.",,,,GC 7/7/2019
t,అంజీరము,అంజూరలు, అత్తి (R);,అత్తిపండు ఒక రకమైన పండ్ల చెట్టు. దాని పండు చాలా తియ్యగా ఉంటుంది.,,,,
t,మూర్ఖుడు,"మూర్ఖులు, మూర్ఖులు, మూర్ఖులు", నిజంగా విషయాలు తెలియని వ్యక్తి (జి);,"ఇతరులు హెచ్చరించినప్పటికీ, చెడు/మూర్ఖపు/చెడు ఎంపికలు చేసుకునే వ్యక్తిని మూర్ఖుడు అంటారు. దేవుడు మూర్ఖులు పశ్చాత్తాపపడాలని, జ్ఞానం నేర్చుకోవాలని మరియు తనకు విధేయత చూపాలని కోరుకుంటున్నాడు. సామెతల పుస్తకం తరచుగా మూర్ఖులకు మరియు జ్ఞానులకు మధ్య వ్యత్యాసాన్ని చూపుతుంది.",తెలివైన,,GC 19-Feb-2019,
t,క్షమించు,"క్షమించబడింది, క్షమిస్తుంది, క్షమిస్తుంది",వారి భుజాల చుట్టూ చేయి వేయండి (SI);,"క్షమించడం అంటే పాపం చేసిన లేదా అవిధేయత చూపిన వారిని శిక్షించకూడదని నిర్ణయించుకోవడం. క్షమించబడినప్పుడు, తప్పు చేసిన వారికి తాము చేసిన దాని గురించి ఇకపై అపరాధభావం లేదా సిగ్గు ఉండదు.","అపరాధం, సిగ్గు, శుద్ధి చేయు, పవిత్రం చేయు",,,
t,రూపం,"ఏర్పడిన, రూపాలు",,"ఏదైనా ఒకదాన్ని రూపొందించడం అంటే (1) దాని ఆకారాన్ని మార్చి మరొక దానిలా కనిపించేలా చేయడం (ఉదాహరణకు, బంకమట్టిని ఏదైనా ఒక వస్తువు యొక్క ప్రతిమలా కనిపించేలా రూపొందించవచ్చు), లేదా (2) ప్రజలను ఒకచోట చేర్చి ఒక కొత్త సమూహంగా ఏర్పాటు చేయడం."," చెక్కు, నిర్మించు,",,GC 23-Feb-2019,
t,నక్క,నక్కలు, నక్క (జి);,"నక్క అనేది చిన్న కుక్క లాంటి అడవి జంతువు, అందమైన బొచ్చు, గుబురు తోక, పదునైన దంతాలు మరియు ముడుచుకోలేని పంజాలు ఉంటాయి. నక్కలు పిల్లిలా దొంగతనంగా వేటాడి ఎలుకలు, ఎలుకలు, పాములు మరియు కుందేళ్ళు వంటి చిన్న జంతువులను తింటాయి. కొన్ని సంస్కృతులు అందం, చాకచక్యం, తెలివైన లేదా చాకచక్యం వంటి లక్షణాలను వివరించడానికి నక్కను రూపకంగా ఉపయోగిస్తాయి. ఉదాహరణకు, ఒక స్త్రీ అందంగా ఉంటే, ఆమెను నక్క అని పిలుస్తారు. హేరోదు రాజును నక్క అని పిలుస్తారు, అంటే హేరోదు చాకచక్యం లేదా ప్రమాదకరమైన చాకచక్యం కలిగినవాడు.",,,,
t,సాంబ్రాణి,,"పొగ మంచి వాసన వచ్చే జిగట పదార్థం (R); పొడిని ఉడికించి/కాల్చివేసి, దాని పొగ మంచి వాసన వస్తుంది మరియు దీనిని ఇన్సెన్స్ (K) అంటారు.","సాంబ్రాణి అనేది ఒక చెట్టు యొక్క జిగురుతో తయారు చేయబడిన సువాసనగల పొడి. దానిని కాల్చినప్పుడు, అది మధురమైన సువాసనను వెదజల్లుతుంది. యూదులు దీనిని దూరం నుండి తీసుకురావాల్సి వచ్చినందున, ఇది ఖరీదైనదిగా ఉండేది.",ధూపం,good smelling powder made of sap of a tree (Hilkka),,
t,కొలిమి,బట్టీ,అగ్ని (W);,"కొలిమి అనేది ఒక ప్రదేశం లేదా పెద్ద పెట్టె, దీనిలో ఇటుకలు లేదా కుండలను కాల్చడానికి ఉపయోగించే బట్టీలాగా, అధిక వేడిని ఉత్పత్తి చేయడానికి కలపను లేదా ఇతర ఇంధనాన్ని కాలిస్తారు. (బాబిలోనియన్లు మృతదేహాలను దహనం ద్వారా, అంటే వాటిని కొలిమిలో కాల్చి పారవేసేవారు.) (చేతివృత్తులవారు వెండి లేదా బంగారం వంటి లోహాలను శుద్ధి చేయడానికి కొలిమిలను ఉపయోగించేవారు.)",,,,
n,గాదరేనీయులు,గదరేనీయులు,,"గెలీలీ సరస్సు సమీపంలో ఉన్న గరదేనే అనేది ఒక ప్రాంతం, అక్కడ పంది మాంసం తినే అనేక అన్యజన ప్రజలు నివసించేవారు.",,,GC 08-Mar-2019,
n,గలిలయ,,,"గలిలయ అనేది ఇజ్రాయెల్ ఉత్తర భాగంలో, గలిలయ సముద్రం అని పిలువబడే ఒక పెద్ద సరస్సు చుట్టూ ఉన్న ఒక ప్రాంతం లేదా రాష్ట్రం. అందులో చాలా చేపలు ఉన్నాయి.",,,,
n,గెహాజీ,,,గెహాజీ ప్రవక్త ఎలీషాకు సేవకుడు. ఒకసారి ఎలీషా కుష్ఠువ్యాధి నుండి స్వస్థపరిచిన ఒక సిరియన్ అధికారి నుండి బహుమతిని అడిగి అతను పాపం చేశాడు.,,,GC 07-Feb-19,
t,అన్యజాతీయుడు,అన్యులు, యూదుడు కాని వారు (W); యూదులు కాని వారు (R);,"అన్యజనులు అంటే ఇశ్రాయేలీయులు లేదా యూదులు కాని సమూహాలు మరియు వ్యక్తులందరూ. యేసు కాలంలో, చాలామంది అన్యజనులు అబద్ధపు దేవతలను మరియు విగ్రహాలను ఆరాధించేవారు. (యేసు పరలోకానికి తిరిగి వెళ్ళే ముందు, అన్యజనులైన అన్ని దేశాలలో తన కోసం శిష్యులను చేయమని తన అపొస్తలులను ఆజ్ఞాపించాడు.) కొన్నిసార్లు, కొత్త నిబంధనలో 'అన్యజనుడు' అనే పదాన్ని దేవుడిని నమ్మని లేదా ఆయనకు చెందని ఒక వర్గం ప్రజలను సూచించడానికి సాధారణ అర్థంలో ఉపయోగిస్తారు.","యూదుడు, హెబ్రీయులు","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of 'sinner' or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of 'belonging to God' or 'believer' (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",
n,గిబయ,"గిబియోను, గిబియోనీయులు",,"యోషువ మరియు ఇశ్రాయేలీయులు ఆ దేశాన్ని జయిస్తున్నప్పుడు గిబియా కనాను దేశంలోని ఒక అన్యమత పట్టణం. (గిబియోనీయులు యోషువను మోసగించి, తమతో శాంతి ఒప్పందం కుదుర్చుకునేలా చేశారు.)",,,Let the Bible tell the story.,07/07/2019
n, గిబియా,"గిబియోను, గిబియోనీయులు",,"గిబియోనీయులు గిబియా పట్టణానికి చెందిన కనానీయులు. వారు యెహోషువతోను అతని సైన్యంతోను సంధి చేసుకోవడానికి, తాము కనాను దేశానికి వెలుపలి వారిమని నటించారు. ఇశ్రాయేలీయులు దేవుణ్ణి అడగడం మర్చిపోయినందువల్ల, వారు గిబియోనీయులచేత మోసగించబడ్డారు మరియు వారు నిజానికి కనానీయులైనప్పటికీ, వారితో సంధి చేసుకున్నారు.",,,GC 07-Feb-19,
n,గిద్యోను,,,"గిద్యోను యేసుకు సుమారు 1200 సంవత్సరాల ముందు జీవించాడు. అతను ఒక రైతు. ఒక పెద్ద శత్రు సైన్యంపై చిన్న సైన్యంతో పోరాడి విజయం సాధించిన తర్వాత, అతను ఇశ్రాయేలీయులకు నాయకుడిగా లేదా న్యాయాధిపతిగా అయ్యాడు. (దేవుడు ఆ పెద్ద సైన్యాన్ని భయపెట్టగా, అది పారిపోయింది.)",,,,
t,కీర్తి,"మహిమపరచు, కీర్తించు",వెలుగు; గొప్పతనం; స్తుతి (దేవునికి మహిమ ఇవ్వండి); బలం మరియు/లేదా అందం (జి); అల్లాహ్ (W); అలంకరణ/అందం (R);,"మహిమ అంటే (1) గొప్ప శక్తి, (2) ప్రకాశవంతమైన కాంతి, (3) సౌందర్యం మరియు (4) దేవుని సన్నిధి.",,References to Allah/islam not helpful in PNG ,,
t,మేక,మేకలు, పొడవాటి జుట్టు కలిగిన జింక లాంటి జంతువు (G);,"మేకలు సున్నితమైన జంతువులు, వీటి మాంసం మరియు పాలు ప్రజలు తింటారు. మేకలు తరచుగా గొర్రెలతో ఒకే మందలలో నివసిస్తాయి. గొర్రె తోకలు క్రిందికి వేలాడుతూ ఉంటాయి, అయితే మేక తోకలు పైకి వంగి ఉంటాయి. పొట్టేలు అని పిలువబడే వయోజన మగ మేకలు వాటి కొమ్ములను ఉపయోగించి పోరాడుతాయి మరియు యుద్ధానికి వెళ్ళే దేశాలకు చిహ్నంగా ఉంటాయి.","గొర్రెలు, గొర్రెల కాపరి",,GC 08-Mar-2019,
t,దేవుడు,శాశ్వత దేవుడు,శాశ్వతమైనవాడు; సృష్టికర్త; శాశ్వతంగా జీవించే / జీవించిన దేవుడు (G); దేవుడు (R); అల్లాహ్ (W);,"దేవుడు సమస్తాన్నీ మరియు సకల జీవరాసులనూ సృష్టించిన ఏకైక, నిత్యుడైన ఆత్మ. దేవుడు ఆకాశంపై మరియు భూమిపై పరిపాలిస్తాడు. ప్రతి ఒక్కరూ తమ దేవతలను విడిచిపెట్టి, కేవలం ఆయనను మాత్రమే ఆరాధించాలని ఆయన ఆజ్ఞాపించాడు. (ఆయనంత గొప్ప దేవుడు మరొకరు లేరు.) (ఈ ఏకైక గొప్ప దేవుడే యేసు మెస్సయ్యగా మానవ రూపంలో ఈ లోకంలోకి వచ్చాడు.)","దేవుడు, విగ్రహం, దేవతలు",Arabic ref.,,
t,బంగారం,బంగారు,,"బంగారం మరియు వెండి మెరిసే లోహాలు, వీటిని అనేక దేశాలు డబ్బుగా మరియు ఆభరణాలు తయారు చేయడానికి ఉపయోగిస్తాయి. ఇశ్రాయేలీయుల నిబంధన మందసం మెరిసే బంగారంతో కప్పబడి ఉండేది. బంగారం భూమి నుండి తవ్వితీస్తారు. దానిని శుద్ధి చేయడానికి, అది కరిగిపోయే వరకు చాలా వేడి మంటతో వేడి చేయాలి, అప్పుడు దాని నుండి మలినాలను వేరు చేయవచ్చు."," వెండి,",,GC 07-Feb-19,
