, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
n, ????? ,,,"???? ????? ??? ?? ???? ?? ??? ?? ?? ????? ??? ?? ?? ??? ?? ??? ?????, ??????? ?? ??? ?? ??? ?? ???? ??? ????? ??? ?? ?? ??? ?? ?? ???? ?????? ?? ???? ?? ?????? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,"???????,?????,????????","Jew-people; Jew-talk;
","??????? ?? ???? ?? ??????? ?? ???? (???? ?????) ?? ???? ????, ??????? ???????? ?? ???? ????? ??????? ???? ??? ?????????? ?? ??? ??? ???????? ??? ??? (?? ???????? ?? ????? ?? ??? ????? ??????? ?? ????) ?? ???? ??? ???? ????? ??? ??? (??????? ???? ?? ???????? ????? ??? ???? ??)?",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,??????? ??? ?? ?? ????? (???) ??? ??????? ?? ????? ?? ???? ??? ??????? ?? ??? ???????? ?? ?????? ??? ???? ???? ????? ????? ?? ??????? ??? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"??????, ???? ??? ?? ??? ???? ??, ?? ?????? ?? ???? ????? ??, ????? ???? ??? ???????????? ?? ????? ???? ?? ?? ???? ??????? ?? ??? ????????? ?? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,"??????? ?? ?????? ?? ????????? ??? ?? ??????? ??????? ?? ??????? ?? ??? ??????? ?? ???? ????? ??? ????? ?? ??? ???? ?? (1) ??????? ??? ??????? ???? (??? ??? ???? ???? ??, ?? ??? ???? ??), (2) ???? ??? ??????? ??????? (????? ?? ??? ???? ???? ?? ???? ?????? ?? ??? ??), 3) ??????? ??? ??????? ????????? ????? (????? ???? ?? ?????????? ?? ??? ???? ???? ?? ????????? ??????? ?? ?????) ?? (4) ??????? ??? ??????? ????????? ??????? (????? ?? ??? ???? ???? ?? ????? ??????? ??? ???? ??)?",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ???? ???? ?? ???? 1900 ???? ???? ??? ????? ?? ????? ?? ????? ???? ??? ???????? ?? ??????? ?? ???? ???? ?? ?? ???? ????? ???? ??? ???? ????? ????? ?? ????? ?? ?? ???? ??????? ?? ????? ???????? ?? ?????? ???? ?? ??? ?????? ??? (?? ???? ?? ???????? ?? ?? ???? ???? ?? ?? ?? ????? ?? ???? ????, ??????? ?? ???? ?? ?? ????? ??, ?? ?? ??? ????? ????? ??? ?? ???? ?? ""?????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"?????? ???? ???? ?? ???? 800 ???? ???? ???? ??? ???? ????? ????? ?? ?????? ?? ??? ?? ?? ?????? ?? ?????? ????, ?????? ????? ?? ???? ??? ?? ????????????? ???? ???? ???? ?? ??? ?? ?????? ?? ???? ???? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ????? ???? ?? ????? ???? ??????????? ?? ???????? ???? ??? ????? ?? ????????? ???? ??, ??????????? ?? ????? ?? ???? ?? ????? ??? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ???? ???? ?? ???? 1850 ???? ???? ??? ?? ????? ?? ????? ?? ??????? ?? ???? ??? ?? ????? ?? ???????? ?? ?? ??? ?? ?????? ????, ?? ??? ?? ??? ?? ??? ??? ????, ???????? ??????? ?? ???? ????? ??????? ?? ???? ??????? ?? ?????? ???? (?? ??????, ??????????? ?? ???-??? ????? ?? ????? ??? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ?? ???? ?????? ?? ????? ??? ??????? ??? ???? ??, ?????? ???????? ?? ??? ???? ???-????? ??? ?? ????? ???????? ???? ?? ????, ?? ???? ???? ?? ???? ??? ??? ??, ???? ???? ???? ??? ??? ??? ????? (???? ??? ?? ???? ?? ""????? ?? ????? ??""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ??? ?? ?? ??? ??? ????? ?? ?? ??????? ??? ????? ??????? ???? ???? ?? ??? ????? ?? ?? ??? ??? ????? ?? ??? ?? ??????? ?? ????????? ?? ????? ?? ???? (????? ?? ??????? ???? ?? ""????"" ?? ????? ???? ?? ""??????? ????????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,"????????,???????",,"???????, ???? ??????? ?? ???????? ?? ??? ???? ??, ????? (??????? ???????) ?? ???? ??, ?? 598 ??? ????? ?? ??????? ?? ???? ?? ??????? ??? ?? ?????? ?? ?? ?? ?????? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,"???? ???? ?? ??????? ?? ???? ?? ???? ?????, ??????? ??????? ?? ????? ??? ??????? ??? ???? ????? ?? ???? ???? ?? ????? ???? ?????? ?????? ???? ???? ?? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"??????, ???? ???? ?? ???? 1700 ???? ????? ????????? ?? ??? ??? ???? ??? ?? ??????????? ?? ???? ?? ??????? ??? ?? ??? ???? ?? ?? ?? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"???????? ???? ???? ?? ???? 600 ???? ????? ???? ??, ?? ??? ?? ???? ?? ?? ??? ?? ??????? ?????? ??????? ?? ????? ???? ??? ??? ?? ???????? ?? ?? ??????????? ?? ????? ??????????? ?? ???? ????? ???????, ?? ???????? ???? ?? ??? ???, ?? ?????? ??????? ?? ?? ??????? ?? ??? ??????? ?? ?????? ?? ????? ?? ?????? 70 ?????? ?? ??? ???? ??? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ???? ?? ?? ??????, ??????? ?? ???? ??? ?? ??? ??? ?? ?? ????? ?? ???? ????? ???? ??? ????? ?? ???? ??? ?? ???? ????? ?? ??????????? ?? ???????? ?? ????????? ??? ?? ????? ??? ???????? ?? ????? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,"???? ??????? ?? ?????? ?? ???, ???? ????? ?? ????? ??? ??? ???? ??????? ?????? ??? ?? ???? ???, ???? ?? ??????? ???? ??? ??????? ?? ??????????? ?? ??????? ? ???? ?? ???? ????, ?? ??? ???? ????? ???? ????????? ?? ?????? ???? ????? ?? ?????? ???? ?? ???, ?? ??? ?? ?? ???? ?? ??? ????? ?? ?? ??? ????? ?? ?????? ??? ??????? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n, ??????? ,,,"???? ???? ?????? ??????? ?? ?????? ???? ?? ???, ?? ??????? ?? ??????? ?? ???? (??????? ??? ?? ???? ?? ""????? ?? ????"") ???? ??????? ?? ??????? ??? ???????? ?? ??? ?? ????? ??????? 1000 ?????? ??, ??????? ??? ???????? ?? ??? ?????? ?? ????? ???? ??? ???? ??????? ?? ????? ??? ??????? ????? ??, ??????? ?? ?? ?????? ?? ????? ??? ??????? ?? ?? ??? ???? ???? ??? ?? ???? ????? ????",???????,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"????, ???? ???? ?? ???? ??, ?? ???? ???? ?? ?????? ??? ?????? ???? ???, ??????????? ?????? ?? ???? ?? ?? ????? ?? ???????, ???? ?? ???? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,"???, ???? ","Yeesu in Roman script, Isaa in Arabic script (W);","(?? ????????? ?? ????? ?? ????? ?? ???? ????? ?? ??? ???? ?? ???) ????, ????? ???? ?? ""???????? ????? ??"" ??????? ???? ????? ?? ???? ????? ?? ??????? ???? ?? ???? ???? ??? ????? ?? ???????? ??? ?? ???? ???? ??? ??? ???????? ??, ??????? ???????????? (???? ???? ?? ??????? ???, ????? ????? ?? ???? ???? ?????? ???, ??? ??? ??? ?? ????? ?? ???, ?? ?? ?????? ??? ??? ??? ?? ???? ?? ?? ?? ??? ??????? ?? ?????? ?? ????? ???? ?? ?? ????? ?? ???? ???? ?? ??? ?????? ???? ?? ??? ?? ????? ?? ????????? ??? ??)? ???? ?? ?? ?? ??? ???? ???????? ???: ???? ????, ?????, ???????? ?? ?????, ?????? ?? ?????, ???? ?? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,????,,"?????? ??????? ?? ?? ???? ?? ????? ??? ???? ???? ??? ???? ?? (??????? 4:18)? ???? ?? ???? 1400 ??? ????? ??? ?????? ?? ?? ?????? ?? ????? ???? ??? (???? ??? ?? ???? ?? ""????? ?? ?????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,people (a tribe) called Jews; sons of Israel (W);,"?????, ??????? ?? ????? ?? ???? ??, ??????? ??????? ?? ??? ???? ??? ?? ????? ???? ??? ??? ???? ??, ????? ?????? ????? ??? ???? ??? ???????? ?? ""???????? ?? ???"" ??? ???? ?? ??????? ???????? ?? ?????? ?? ??????? ?? ??? ??? ???? ?? ????? ?????? ?? ?? ????? ?? ????? ?????? ?? ????? ?????? ?? ????? ????? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,???? ?? ?????? ?? ???? ?? ???? ?? ?????? ??????? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,????,????,,"????, ???? ???? ?? ???? 800 ???? ????? ????? (??????? ???????) ?? ???? ??? ???? ?????? ??? ???? ????? ?? ???? ??, ?????? ??????????? ??? ???? ???? ??? ??? ?? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"???? ??? ????, ?????? ?? ????????, ???, ????????? ?? ??? ????? ??? ?? ???????? ?? ???? ???? ???? ??? ?? ?? ????? ?? ???? ?????? ?? ??? ????, ?? ?? ???? ????? ?? ???? ???? ??????? ?? ?? ?? ????? ????? ?? ???? ?????, ????? ?????? ????? ?? ?? ?? ?? ??? ????? ??, ????? ?? ???????? ?? ????? ????? ?? ?? ?? ???? ???? ????? ??? ??? ??? ?? ?? ???? ?? ???, ?? ???????? ?? ???? ????????? ?? ?? ???? ?? ????, ?? ???? ?? ?? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,Yowanna (W),"??????? ??? ?? ???? ?? ""???????? ?? ???????""? ????? ??? ??????? ??? ?? ?? ????? ??? ????  ???: (1) ???????? ???? ???? ,????? ????? ?? ???????? ?? ?? ????? ?? ??????? ??, (2) ???? ?? ?? ??????? ?? ???? ?? ???? ????? ??? ????? ??? ?? ?? ?? ?? ????? ????????, ?? ???? ?? ???? ??????? ??? ?? ????????????? ????, (3) ?????? ?? ????? ??? ??????? ????? ????? ?? ???????? ????, (4) ???? ?? ????, (5) ?? ??????? ?? ??????????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"????, ???? ???? ?? ???? 800 ???? ????? ???? ??? ???? ??? ?? ???? ?? ?????, ?? ?????? ??  ?????? ?? ???????? ?? ?? ??????????? ?? ????? (??????? ??) ????? ??? ????? ?? ???????? ???? ?? ??? ?????? ??? (???? ?? ?? ??? ??? ?? ?? ?? ????? ???? ?????? ?? ??? ??? ??? ????? ?? ?????, ???? ???? ??? ??? ?? ?? ???? ???? ?? ??? ??? ??? ?? ????? ??? ???? ???? ???) ???????? ?? ???? ?? ?????? ?? ???-??? ???? ???? ?? ?? ?? ????? ?? ??? ??? ???????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??????? ???? ???? ?? ????? ??? ?? ?? ???? ???? ????? ????? ?? ??? ?? ???? ?? ??????? ????? ??? ???? ??, ?? ???? ???? ????? ?? ???? ???? (??????? ??? ?? ???? ?? ""????? ?? ?????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ??????? ?? ?????? ??? ?????? ?? ?? ????? ?? ??? ??, ???? ????? ?? ????? ???-???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,????  ??? ,,"???? ?? ???? ??? ?? ??? ?? ?? ??????? ??? ????? ?? ?????? ?? ?? ???? ??? ????  ??? ?? ?????? ??? ????? ???? ???? ??, ???? ?????? ??? ?? ????? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ??? ?? ?? ????? ???: (1) ????? ?? ????????? ?????, (2) ????? ?? ???, (3) ???? ???? ?? ?? ???, (4) ?? ??? ????? ???? ????? ???? ???? ?? ???? ?? ?????? ??,??? ?
????? ?? ????? ????? ?? ???? ???? ?? ???? 1800 ???? ???? ????? ??? ?? ??? ?? ??? ??? ??? ???? ??? ??, (?? ?? ????? ??? ?? ?????????? ??????? ?? ??? ???? ?? ????? ?? ?????? ?? 400 ?????? ?? ???? ?? ??? ?? ???)? (????? ??? ?? ???? ?? ""?? ???????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ???? ????  ?? ???? 1400 ???? ???? ???? ??? ???? ??? ?? ???? ?? ""???????? ????? ??""? ?? ?? 12 ??????? ??? ?? ?? ?? ??????? ???? ?? ???? ???? ??? ???? ?? ?????? ?? ???, ????? ??????????? ?? ????? ???, ?? ?? ?? ???????? ???? ?? ???? ??????? ???? ?? ??? (???? ???, ""???? ?? ??? ?? ???? ?????? ?? ??? ??, ?? ????? ?? ?????? ???????"")
(????? ??? ?? ???? ?? ""????? ????? ??""? ???? ??? ?? ????? ??? ?? ?? ?? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ????? ?? ???? ????? ??? ?? ?? ??? ???? ??? ?? ??? ??? ??? ?? ????? ?? ???????? ????? ?? ?????? ???? 
???? ?????? ?? ??? ?? ??? ??, ?????? ?????? ?? ??????? ??? ???? ??, ???? ?? ??????? ?????? ?? ?????? ??? ????? ?? ????? ??? ?????? ??? ???? ??? (????? ??? ?? ???? ?? ""??????"" ?)",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,??????? ?? ?????? ?? ????? ?? ??? ?? ???? ????? ?? ????? ???? ???  ,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"??????? ?? ????? ???? ?? ??? ?? ???, ???? ?????? ??? ?? ?? ??? ?? ???? ??, ????? ?? ????? ???? (?????? ??? ?? ???? ??? ?? ???? ????? ?? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ?? ???? ?? ????? ?? ????? ????? ??? ?????, ???????? ?? ????? ?? ???? ????, ?? ???? ?? ???? ???? ???? ???? ??? ??? ???? ??? ????? ?? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ????? ?? ???? ??, ?????? ?? ???, ?? ????? ??? ???? ??? ????? ??? ?? ????? ?? ???? ?? ?? ????? ?? ???????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ???,???? ????,,"????  ??? ?????? ??????? ??? ???? ????? ???? ?? ?? ???? ????? ??, ???? ?? ?????? ??? ?????? ?? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????,"???????, ????",from the clan of Lewi (R); from the clan of Liwai (K),"????, ????? ?? ???? ????? ??? ?? ?? ??, ?? ???? ??? ?? ???????? ????? ?? ?????? ??? ??????? ???, ?????? ??????? ?? ?? ??????? ?? ????? ??? ???? ?? ??? ?? ??? ???? ?? ?????? ??? ????? ?? ???? ??? ????? ????? ???????? ???? ??, ??? ?? ???? ??? ???? ??? (?????? ?? ??? ???? ???? ????  ??? ?? ????? ????? ?? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,"??? ??????? ?? ????? (??? ?? ????) ??? ??? ??????? ?? ??? ???? ??? ????? ?? ????? ??????? ?? ??? ??????? ?? ???? ???? ?? ??, ?? ?? ??? ?? ??? ??????? ?? ???? ??? ???? ????, ???? ??? ???? ??? ???? ??? ???? ???? (??? ???????? ?? ???????? ?? ?????? ???, ?? ??????????? ?? ?????? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"??????, ????? ?? ?? ????? ??? ???? ??? ??????, ??????? ?? ?? ????? ?? ?????? ???? (?????? ??? ?? ???? ?? ""??? ?????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,?????  ,,,"?????  ?? ?? ???? ??? ??? ?????? ?????  ??? ?? ?? ???? ????? ??????? ??, ?? ???? ?? ????? ??, ????? ?? ????????  ???? ?? ???  ?? ???  ??  ???????? ????? ??? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ??? ?? ???? ?? ""?????"" ?? ""?????"" ? ?????? ?? ??? ????  ???, ?? ??????? ?? ??? ????? ??, ?????? ???? ?? ??? ?? ????? ?? ?? ?????? ?? ????? ???? ???? ?? ?????? ?? ??? ?? ?? ????? ??? ???? ??, ?? ?????? ?? ???? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????,  ???? ???? ?? ??? ?? ?? ???? ???? ??, ?? ????-???? ???? ??, ?? ???? ?? ??? ???? ????? ???? ?? ??? ??????, ?? ?? ????? ?????? ???? ??? ????? ?? ???? ?? ???? ?? ???? ??? ?? ???????? ??  ????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,???? ??? ,,"???? ?? ????? ?????? ??? 7??? ??? ??? ????? ???, ???????? ??? ??? ?? ?? ????? ????? ????? ??????? ?? ???? ???? ?? ??? ???????? ?? ??? ????? ??? ????? ???? ???? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????????  ,,,"??????????  ?? ???? ?? ""???? ???? ?????? ???? ???? ??""? ?? ???? ?? ???? ??, ?? ?????? ?? ?? ???? ???? ???????? ?? ???? ???? ??? ???? ?? ??? ??????? ?? ???????? ????, ????? ??? ??? ?? ?????? (????? ??? , ?? ????? ??????) ????? ??????? ??????????   ?? ????  ?????? ?? ??, ?? ???? ?? ???  ???? ?? ?? ???? ??  ????  ????? ?? ???? ?? (??? ?? ????? ???? ???? ????????  ?? ??? ????? ?? ??? ?? ???? ???? ?? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????????? ,,,"????????? ?????? ?? ???? ??? ???? ??? ???? ??? ??? ?? ??? ???? ?? ???? ???? ?? ???, ???? ????????? ?? ???? ???????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ???? ???? ?? ???? ??? ?????? ?? ????? ???? ??, ????? ???? ???? ?? ??, ?? ?? ???? ???? ?? ???? ?? ??? ??? ?? ????? ???, ?? ????  ??????? ?? ?????? ?? ??? ??? ??, ?? ???? ??? ?????? ???? ??? ????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,???????????,,"???????, ??????? ?? ????? ????? ?????? ?? ???? ???? ??? ??????? ?? ????? ?????-?????? ??? ??? ??, ???? ???? ????? ?? ????? ?? ??? ??????? ?? ????? ?? ????? ?? ??????????? ??? ???? ??? ?? ??????? ?? ??? ??? ??????? ?? ???? ???? ?? ????? ??? ???????? ?? ????? ?? ???? ???? ???? ??????????? ?? ????? ?? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,,,?????? ???? ?? ????? ?? ??? ??? ?? ?? ??????? ????? ???? ?? ?? ??????????? ?? ??? ?????? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,????? ,,"???? ??????? ?? ????? ??? ?? ???? ??? ???? ?? ???? ????? ??, ?? ????  ??? ?? ??? ??????? ?? ??????-????? ??? ???? ??? ???? ??? ????? ???? ?????? ?? ??? ????  ????? ????? ?? ???? ???? ??? ??? ?? ????? ?? ?? ???? ????  ?? ???? ?? ?????? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ?? ???? ????? ?? ?? ??? ???-???? ??? ???? ???? ???? ???? ??? ????? ???, ????? ????? ?? ????????? ?? ????? ???? ?????? ?? ??? ?????? ??? ??????? ??? ??? ??????????? ?? ???? ?????? ?? ??? ???? ????? ?? ???? ?????? ??????? (????? ??? ?? ???? ?? ""??? ?? ????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,??????? ?? ????? ????? ?? ?? ?????? ???? ?????? ?? ??? ??? ??? ???? ??? ???? ???? ???? ????? ??? ?????? ?? ????-???? ?? ??????  ?? ???? ???? ?????? ?? ??????? ?? ???? ??????? ???? ?? ??? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,,
n,????,,Musa (W from Ar),"????, ???? ???? ?? ???? 1450 ??? ???? ???? ??? ???? ???? ????? ??? ?? ?????? ????? ?????? ??? ??? ??, ????? ?????? ????? ?? ?? ????????? ?? ??? ?? ???? ?? ? ???? ?? 40 ??? ?? ???? ??? ????? ???? ???? ??, ????? ???????? ?? ?????? 80 ??? ?? ???? ??? ????? ???? ??? ????, ???? ?? ?????? ????? ?? ???? ?? ?? ????? ???????? ?? ???? ?? ???? ????? ????? (????????? ?????? ????  ?? ???? ??????? ?????)?",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ???? ???? ?? ???? 800 ??? ???? ?????? ??? ??? ???? ??, ???? ?? ??????? ?? ?????? ??? ?? ?? ???? (???-?????) ??, ????? ????, ?? ??? ??? ??? ?? ? ??????????? ????? ?? ??? ???? ??? ??? ????? ?? ??? ???? ????? ?? ??? ???? ?? ??? ?? ???, ?? ??????? ?? ????????? ??? ??????? ???? ???? (???? ????  ?? ???????? ?? ??? ??  ?? ????????? ?? ??????? ???? ????? ???? ?? ????? ?? ???? ???? ??  (????? ??? ?? ???? ?? ""???????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ??????? ?? ?? ????? ?? ?? ???? ??? ?? ??? ???? ??? ?? ??, ???? ??? ?? ????? ?? ??? ?? ??? ?? ??????? ??? ?? ???",,,,,,,,,,,,,,,,,,,,,,,,
n, ????? ,,,"?? ????? ?? ??? ????? ??? ????? ???? ?? ???? ??????? ??? ?? ?? ??? (????? ??? ?? ???? ?? ""????????  ???? ??""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ????? ?? ????? ??? ????? ?????? ?? ?? ???? ??? ????? ?? ????? ?? ??? ?????, ????? ?? ???? ?? ????? ??? ???? ?? ??? ?? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,??????????? ,,,"??????????? 605 ?? 562 ??? ????? ?? ??????? ?? ?? ???-???? ???? ??? ???? ??????????? ?? ??? ?? ?????? ?? ?????? ?????? ?? ??? ??????? ??? ????, ?? ??? ??? ??????? ?? ???????? ?? ??????? ????? (??????????? ??? ?? ???? ?? ""??? ???? ???? ?? ????? ????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,???????? ,,,"???????? ?????? ????????? ??? ?? ????? ???? ??????? ??? ???? ?????????? ?? ???????? ?? ???? 445 ??? ????? ??? ?????? ?? ??? ?? ????? ?? ??? ????? ???? ??? (???????? ??? ?? ???? ?? ""????? ???? ???? ??""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,??? ???,??? ,,??? ??? ???? ????? ??? ?? ????? ?? ?? ???? ?? ?? ??? ?? ??????? ?? ?????? ???? ??? ????????? ??? ??? ?? ???? ?? ?????? ????? ????? ??? ???????? ?? ???? ?? ??? ??? ?? ???? ?? ??? ??? ????? ?? ????? ?? ??? (??? ??? ?? ????? ??????? ?? ?????????? ??? ??? ????? ???),,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,????????? ,,"????? ?????? ??? ?? ?? ???? ?????????? ??? ??? (?????? ?? ????? ???? ??????? ?? ??? ?? ??? ???? ???? ???) ???? ???? ?? ???? 800 ???? ?????, ???????? ?? ????? ?? ????? ?? ??????? ???? ?? ??? ??? ???? ?? ???? ?? ?? ?????? ???? ???? ?? ??? ??? ???? ?? ????? ?????, ?? ?? ???? ?? ???????? ????? ?? ????, ???????? ?? ?????? ????? ?? ???? ?? ?? ??? ???? ??? ???? ????? (?? ???????? ???????? ????, ?? ???? ?? ???? ???? ???, ??????? ?? ????? ?? ?? ????? ????? ?? ??? ?? ???)
???? ?? ???? ?????? ????? ?? ?? ???????? ?? ??? ??? ????? ?? ??? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,"???, ???? ???? ?? ???? 2000 ???? ???? ???? ??? ???? ??? ?? ???? ?? ""???? ?? ????"" ?? ?????, ????? ???? ???? ??? ?? ??? ?? ?? ???????? ?? ??? ?? ?? ???? ???? ??? ????? ?? ???? ????? 120 ??? ???, ???????? ?? ??????? ?? ????? ?? ??? ?? ?????? ?? ?? ??? ??? ?? ???? ??? ???????? ?? ????? ?? ???? ?? ???? ???? , ????? ??? ????? ?? ????? ???? ??, ????? ?? ????? ?? ?? ??? ?? ???? ?? ?? ???? ?? ???? ?? ?? ???  (?? ??????, ?? ????? ??? ??? ??? ?? ???? ????? ?? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
n,????-???? ,,,"???? ???? ?? ?? ??? ????-???? ?? ?? ??? ???? ?? ?????? ??? ??, ?? ????? ?? ????-???? ?? ?????? ????? ?? ???? ???? ?? ?????? ??????? ?? ???, ?? ???? ????-???? ?? ???? ?? ???????? ??????? ????? (????-???? ??? ?? ???? ?? ""???? ?? ????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ???? ?? ?? ????? ?????? ??, ????? ????? ????? ?? ?? ??????? ??? ?? ?? ?? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"???? ?? ????? ?? ?? ???????? ?? ??? ????? ??????? ???? ??? ???? ?? ????? ???? ?? ???, ?? ?? ??????? ?? ??? ?? ??? ?? ????? ???? ???? ???????? ?????? ?? ?? ?? ????????? ???? ???? ?? ?????? ???? ?? ???? ???? ??? ????? ?? ???? ???? ???? ????? ?? ?? ???? ???? ?? ?? ?????? ????? ?? ?? ???? ?? ?????? ???? (????? ??? ?? ???? ?? ""????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,??????,,"?????? ?? ????? ?????? ??? ??? ????? ?????? ??????? ???, ???????? ??????? ?? ??? ?????? ???? ?? ?????????? ?? ???? ??????? ??? ?????? ????????? ?? ??????? ?????? ?? ?????? ?? ??????? ??? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,???? ,,"???? ?? ?????? ?? ???? ???? ?? ??? ???? ??? ?? ???? ?? ???? ?? ????? ???? ?? ??? ??????, ?? ???? ?? ???? ??? ????? ???? ?? ????? ????, ???? ?? ???? ????????? ??? ?? ?? ??? ???? ?? ???? ?? ???? ?? ?????? ?? ?????????? ?? ??? ???????? ?? ???????? ?????? ???? ???? ??????? ?? ???-???????? ?? ??????????? ?? ???????? ?????? ???? ???? ??????? ????? ???? ?? ????? ?? ?? ???? ?? ?? ???? ????? (???? ??? ?? ???? ?? ""???????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,"Jewish religious leader;
Farasi;
","????? ????? ???????? ?? ?????? ?? ?? ???? ?? ???????? ?? ???? ???? ?? ??? ?? ?????? ?? ???? ???? ??? ?? ?? ???????? ?? ???????? ???? ?? ?? ?? ?????? ?? ???? ???? ??? ???? ???? ???? ??? ???? ?? ?????? ?????? ???, ??????? ?? ????? ??? ???? ??, ????? ??? ??????? ???? ???? ??? (?? ????? ???? ?? ???? ????????? ?? ????? ???? ??, ???-??? ??????? ?? ???????? ?? ???? ?? ?? ??? ????? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????????? ,,,"????????? ??? ?? ?? ??? ??? ????? ?? ?? ???????? ???? ??? ????? ???? ?? ???? ??????? ??? ?? ?? ??, ?? ???? ?? ???? ????????? ??? ?? ?? ???? ????????? ?? ???????? ?? ???? ?? ??? ?? ???, ??? ?? ?? ?????????? ??????? ?? ???",,,,,,,,,,,,,,,,,,,,,,,,
