,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
t,श्राप,"श्रापहरु,श्रापगरिएको, ","say really bad things to/about (G);speak bad about (R); (strong) anger of God (R); cause harm; punish;
","श्राप भनेको अरू कसैलाई हानि पुऱ्याउनु/बोल्नु हो। परमेश्वरले दुष्ट कार्य गर्न रोज्ने सबैलाई श्राप दिनुभएको छ। परमेश्वरले निर्दोष येशूलाई पनि श्राप दिए, ताकि उनले हामीलाई क्षमा गर्न र परमेश्वरको श्राप रद्द गर्न सकून्।","आशिष, दोष","maybe rather than condemn, it would be 'punish, cause harm'",,
t,पर्दा,,,"र्दाहरू ठुला कपडाहरू हुन्, तिनीहरूको माथिल्लो किनारबाट झुन्ड्याइन्छ, जसले झ्यालहरू ढाक्छ, ढोकाहरू बन्द गर्दछ, वा घरको कोठा विभाजित गर्दछ।




",,,material' can be anything. Cloth seems more specific. Opening also seems a bit general.,
n,दमस्कस,,, इस्राएलको उत्तर-पूर्वमा रहेको दमस्कस विश्वको सबैभन्दा पुरानो सहरहरू मध्ये एक हो। यो सिरिया राष्ट्रको राजधानी सहर बनेको छ। येशू दमिश्क नजिकै शाऊल नामको मानिसकहाँ देखा पर्नुभयो। शाऊल पावल नामक प्रेरित बने।,,,GC 19-Feb-2019,
n,दानिएल,,,"दानिएल एक जवान मानिस थिए जब बेबिलोनिहरूले यरूशलेमलाई नष्ट गरे, धेरै यहूदीहरूलाई बेबिलोनमा बन्धक बनाए। दानिएल, एक बन्दी, एक मूर्तिपूजक राजाको दरबारमा बस्दा र काम गरे तापनि, एक इमानदार अधिकारी भएर, आफ्नो जीवनभर परमेश्वरको आज्ञा पालन गरे। परमेश्वरले दानियललाई सपनाहरूको अर्थ देखाउनुभयो, र उनलाई राष्ट्रहरूको भविष्य प्रकट गर्नुभयो। (दानिएल नामको अर्थ ""परमेश्वर मेरो न्यायकर्ता हुनुहुन्छ।"")",,,Jesus called Daniel a prophet (Mt 24:15) but the book of Daniel is not classed with the prophets but as a writing.,GC 8 July 2019
n,दारा,,,"दारा फारसी साम्राज्यको चौथो राजा थिए, ५५०-४८६ ईसा पूर्व। उनले दानियलको जीवनकालमा ५३९ ईसा पूर्वमा बेबिलोन जितेका थिए। (दारा नामको अर्थ उसले भलाइ राख्छ।)",,,GC 08-Mar-2019,
n,दाऊद,राजा दाऊद,Dawuda (W from Arabic),"दाऊद, इस्राएलका दोस्रो राजा, येशूभन्दा लगभग ८०० वर्ष अघि बाँचेका थिए। उनी एक गोठालो केटा थिए जसले एक साहसी योद्धाको रूपमा प्रतिष्ठा प्राप्त गरे। उनले सङ्गीत र गीतहरू पनि बनाए, जसमध्ये केही बाइबलमा भजन बनेका छन्। दाऊद आफ्नो जीवनभर परमेश्वरप्रति वफादार रहे, र परमेश्वरले उनलाई आफ्ना छोराहरूले सदासर्वदा इस्राएलमाथि शासन गर्ने प्रतिज्ञा गर्नुभयो। येशू राजा दाऊदका वंशज (छोरा) हुन्। (दाऊद नामको अर्थ प्रिय हो।)", राजा,,GC 07-Feb-19,
t,मृत्यू,"मर्नु, मृत्, मर्दै,मरेको",,"मृत्युका विभिन्न प्रकारहरू छन्ः (१) शारीरिक मृत्यु, जब हाम्रो आत्माले हाम्रो शरीर छोड्छ, (२) अनन्त मृत्यु, जसलाई 'दोस्रो मृत्यु' भनिन्छ, सदाको लागि स्वर्गमा जानुको सट्टा नरकमा जान्छ, (३) आध्यात्मिक मृत्यु, परमेश्वरको जीवन र पवित्र आत्मा नभएको, (किनकि आदमले पाप गरे, हामी सबै आत्मिक रूपमा मरेका जन्म्यौं र 'फेरि जन्मिन आवश्यक छ। र (४) गलत गर्न अस्वीकार, भनिन्छ 'आफैलाई मर्न,' परमेश्वरको पवित्र आत्माको सहायताले।"," रगत,  बलिदान",,,
n,दबोरा,,,"न्यायकर्ताहरूका वर्षहरूमा दबोरा एक इस्राएली अगमवक्ता (महिला अगमवक्ता) थिइन्। उनको माध्यमबाट, परमप्रभुले बाराकलाई कनानी राजा याबीनको सेनासँग युद्ध गर्न जान आदेश दिए। (दबोरा नामको अर्थ ""मौरी"" हो।)",,,,GC 7/7/2019
n,देबोराह,,,"दबोरा नामका दुई जना महिला थिएः (१) रिबेकाकी नर्स जो बेथेल नजिकै मरेकी थिइन्, र (२) इस्राएलका नेताहरूले उनीहरूलाई आफ्ना शत्रुहरूमाथि विजय दिलाए। (दबोरा नामको अर्थ प्रतिज्ञा हो।)",,,-4,
t,विधि,कानुन,,घोषणा एक औपचारिक कानून हो जुन राजाले उच्चारण गर्दछ। सबैले आफ्ना राजाका आज्ञाहरू पालन गर्नुपर्छ।," कानुन,  आज्ञाहरु",,,GC 8 July 2019
n,दलीला,,,"दलीला त्यो पलिश्ती स्त्री थिइन् जससँग शिमशोनले विवाह गरेकी थिइन्। (दलिला नामको अर्थ मनमोहक हुन्छ।)




",,,GC 07-Feb-19,
n,डेमेत्रियस,,,".त्यहाँ देमेट्रियस नामका दुई जना मानिसहरू थिए। (१) एफिससको सहरमा एकजना चप्पल बनाउने व्यक्ति थिए जसले आर्टेमिस भनिने देवीलाई बिगारेका थिए। उनले सहरको अदालतमा पावलविरुद्ध आरोपहरू ल्याए। (२) अर्को एक ईसाई थियो जसको राम्रो प्रतिष्ठा थियो ३ यूहन्ना १)




",,,,GC 7/7/2019
t,दुष्ट,"दुष्ट आत्मा, भुत, दुष्ट आत्मा, शैतान, भुतलागेको","spirit rebellious to God; 
evil creature (W);
bad spirit (G);demon (R);","दुष्टात्मा ती आत्माहरू हुन् जसले आफ्ना सृष्टिकर्ता परमेश्वरका विरुद्ध विद्रोह गरेका छन्। तिनीहरूले परमेश्वरको अवज्ञा गर्ने, अन्य देवताहरूको सेवा गर्ने वा दुष्ट कार्य गर्न छनौट गर्ने मानिसहरूमा बसोबास गर्न र शक्ति प्रयोग गर्न सक्छन्। शैतान मुख्य दुष्ट आत्मा हो। येशूले आफ्ना अनुयायीहरूलाई दुष्टात्मा/दुष्टात्मा फ्याँक्ने शक्ति दिनुभएको छ।"," स्वर्गदुत,  शैतान",,Demons are never said to be fallen angels (messengers). The Rabbis taught that demons are the disembodied souls of the biblical Nephelim. Local cultures have their own beliefs about evil spirits.,
n,डायना,,,दायना एक ग्रिक देवी (मूर्ति) को नाम हो जसलाई एफिसस सहरका मानिसहरूले पूजा गर्छन्।, मुर्ति,,,
t,चेला,चेलाहरु,"learner; student (lit. child of learning) (R); 
ones in training (apprentice);
ones I (Jesus) teach (G);
student (but not like in a classroom);
Christian;
ones who follow /obey Jesus; ",शिष्यहरू ती हुन् जसले शिक्षकको निर्देशनहरू पालन गर्छन्। येशूका धेरैजना चेलाहरू थिए। उहाँले आफ्ना चेलाहरूलाई बप्तिस्मा दिएर र उहाँका आज्ञाहरू पालन गर्न सिकाएर हरेक देशमा येशूका अरू चेलाहरू बनाउन जान आदेश दिनुभयो।,"प्रेरित, ईसाइ",,"GC: Longer notes contain a lot of fascinating information, yet do not necessarily help translators find an appropriate term to employ. ",
t,गधा,गधाहरु,"horse-pig/animal; dongki (R)
small horse; pack-animal (W); animal (called) donki","गधाहरू साना घोडाजस्ता जनावर हुन्, जसमा मानिसहरूले सवारी गर्न सक्छन्। गधाहरूले पनि भार बोक्छन् र हल तान्छन्।",,other language: animal (called) donki (Hilkka),,
t,शँका,अविश्वास,"believe weakly (G); waver (W);
","शङ्का भनेको कुनै कुराको बारेमा निश्चित हुनु हुँदैन, वा कुनै कुरामा विश्वास गर्नु हुँदैन जुन सत्य जस्तो लाग्दैन। परमेश्वरका प्रतिज्ञाहरूमाथि शङ्का गर्नु भनेको उनले भनेका वा प्रकट गरेका कुराहरूमा विश्वास नगर्नु हो। शङ्काको अर्थ कुनै कुराको सत्यता वा विश्वसनीयताबारे शङ्कास्पद वा शङ्कास्पद हुनु हो।"," विश्वास,  विश्वास गर्नु, ",,GC 23-Feb-2019,
t,अजिङगर,अजिङ्गरहरू,large lizard; big snake (K); draagon (R);,"अजिङ्गरहरू विशाल सर्प वा छेपारो हुन्। परमेश्वरको शत्रु शैतानलाई अजिङ्गर भनिन्छ, किनकि ऊ बलियो, डरलाग्दो, विनाशकारी र दुष्ट छ। शैतानले अजिङ्गर (सर्प) को रूप लियो जब उसले परमेश्वरको अवज्ञा गर्न पहिलो मानिसहरूलाई बहकाएको थियो। प्रकाशको पुस्तकमा एउटा अजिङ्गरलाई शैतानको प्रतीक वा चित्रको रूपमा प्रयोग गरिएको छ।", सर्प,,Dragons of various sizes certainly do live on earth.,
t,सपना,सपनाहरु,"dream (G);
",सपना त्यो हो जुन सुतिरहेको बेला कसैले देख्छ र सुन्छ। कहिलेकाहीँ परमेश्वर वा स्वर्गदूतहरूले सपनामा व्यक्तिहरूसँग कुरा गर्थे। परमेश्वरले योसेफ र दानियललाई केही सपनाहरूको अर्थ बताउन अनुमति दिए जुन तिनीहरूलाई देख्नेहरूका लागि रहस्यमय थियो।, दर्शन,,GC 07-Feb-19,
t,पृथ्वी,,"land;
this ground;
ground (G);","पृथ्वीको अर्थ हो (१) हामी मानवहरू बसोबास गर्ने भूमि वा जमिन, (२) आकाशमुनि सबै कुरा, (३) माटो वा माटो, र (४) मृतको भूमिगत निवास। ","संसार,  स्वर्ग",,,
n,अदन,,,"अदन एउटा सुन्दर ठाउँको नाम थियो, एउटा धेरै ठुलो सुन्दर बगैँचा, जहाँ आदम र हव्वाले परमेश्वरको विरुद्धमा पाप गर्नुअघि परमेश्वरले अन्य आत्माहरू र पहिलो मानिसहरूसँग भेट्ने गर्थे।",,,GC 15-Feb-2019,
n,एदोम,,,"एदोम एउटा देश थियो जहाँ एसावका सन्तानहरू इस्राएलबाट पूर्वतिर बसोबास गर्थे। एदोमीहरूले झुटो देवताहरूलाई नष्ट गरे अनि इस्राएलका शत्रु बने। एदोमको अर्थ ""रातो"" हो।",,,GC 15-Feb-2019,
n,मिश्र,"मिश्री, मिश्रीहरु",Misra (W from Arabic),मिश्र इस्राएलको पश्चिममा रहेको देश हो। इस्राएलीहरूले मिश्रमा चार सय वर्ष बिताए जहाँ तिनीहरू दास बने। मिश्रले सयौँ वर्षसम्म इस्राएलको भूमिमा शासन गऱ्यो।,,Arabic ref.,,
t,एल्डर,अगुवाहरु,"older men (G); leaders (W)
","वृद्धहरू वृद्ध मानिसहरू हुन् जसलाई अरूले सम्मान र आज्ञा पालन गर्छन्। वृद्धहरू प्रायः एउटा परिषद्को रूपमा भेला हुन्छन् जसले महत्त्वपूर्ण मामिलाहरू निर्णय गर्दछ। मण्डलीहरूमा अग्रजहरू हुन्छन् जसलाई पर्यवेक्षक र सेवकहरू, वा पास्टर र डिकनहरू भनिन्छ।", अगुवा,,GC 23-Feb-2019,
n,एलिमेलेक,एलिमेलेक,,एलिमेलिक नाओमीका पति थिए। उनी एक इस्राएली हुन् जो मोआब देशमा बसाइँ सरेका थिए जहाँ उनको मृत्यु भयो। (एलीमेलेक नामको अर्थ मेरो परमेश्वर राजा हुनुहुन्छ।),,,GC 19-Feb-2019,
n,एलि,,,"एली शलोहमा रहेको इस्राएली उपासनाको तम्बुमा पुजारी थिए। उनले नै बालक शमूएललाई हुर्काए जो अगमवक्ता बने। (एली नामको अर्थ ""मेरा परमेश्वर"" हो।)",,,,GC 7/7/2019
n,एलि,,,"इस्राएलको मन्दिर हुनुभन्दा अघि एली शीलोमा परमप्रभुको पूजाहारी थिए। उनले अगमवक्ता शमूएललाई एक जवान केटाबाट वयस्कतामा हुर्काए, यद्यपि उनका आफ्नै छोराहरू बेइमान थिए। (एली नामको अर्थ मेरो परमेश्वर हो।)",,,GC 07-Feb-19,
n,एलियाह,,Ilyass (W),"एलिया येशूभन्दा लगभग ८०० वर्ष पहिले बाँचेका थिए। उनी परमेश्वरका अगमवक्ता थिए, जसले साहसपूर्वक एक दुष्ट राजालाई र इस्राएलमा मूर्तिहरूको पूजा गर्ने सबैलाई हप्काए। (मलाकीको पुस्तक भन्छ कि एलियाले आउने मसीहलाई स्वागत गर्न इस्राएललाई तयार पार्न फर्कनुपर्छ।) (यूहन्ना बप्तिस्मा दिने धेरै तरिकामा एलियाह जस्तै थियो। एलियाको अर्थ प्रभु नै परमेश्वर हुनुहुन्छ भन्ने हो।",एलिशा,Arabic ref.,GC 07-Feb-19,
n,एलिशा,,Alyaasa (W),एलीशा येशूभन्दा लगभग ८०० वर्ष अघि बाँचे। उनी एलियाह अगमवक्ताद्वारा नियुक्त गरिएका परमेश्वरका अगमवक्ता थिए। एलीशाले एलियाहभन्दा धेरै चमत्कारहरू गरे।, एलिया,Arabic ref.,,
n,एल्काना,,,"एल्काना नामका धेरै मानिसहरू थिए। एकजना एल्काना हन्नाको पति र अगमवक्ता शमूएलका पिता थिए। (एल्काना नामको अर्थ ""परमेश्वरले सृष्टि गर्नुभएको"" हो।)",,,GC 07-Feb-19,
t,सम्राट,सम्राटहरु,,"सम्राट एउटा साम्राज्यका राजा वा सर्वोच्च शासक थिए, जसले साना राजाहरूमाथि शासन गर्थे। केही काउन्टीहरूले आफ्ना सम्राटलाई दैवी वा देवता मान्थे।","राजा,  फारो,  कैसर",,,
t,साम्राज्य,"राज्य, ","all divisions of his land (G); 
","साम्राज्य भनेको धेरै सहरहरू, राज्यहरू र/वा राष्ट्रहरूको विस्तृत समूह हो जसमा एक सर्वोच्च शासक (एक सम्राट) को अधिकार हुन्छ। बेबिलोन, अश्शूरी र रोम बाइबल समयका साम्राज्यहरूका उदाहरणहरू थिए।




"," राष्ट, देश,  क्षेत्र, सम्राट",,"GC 08-Feb-19
RR updated",
n,एफिसी,एफिसीवासीहरु,,एफिसी एसिया माइनरको समुद्र नजिकैको एउटा ठुलो सहर थियो जहाँ पावलले नयाँ मण्डलीहरू सुरु गरे। पछि उनले एफिसीहरूलाई एउटा पत्र लेखे। येशूले प्रकाशमा यूहन्ना मार्फत एफिसीहरूलाई एउटा पत्र पनि लेखे।,,,,GC 7/7/2019
n,एफ्राम,,,एफ्राइम योसेफका दुई छोरामध्ये कान्छा थिए। एफ्राइम इस्राएलका एउटा कुलका पूर्वज बने। (एफ्राइम नामको अर्थ फलदायी हुन्छ।),,,GC 23-Feb-2019,
n,एपिक्युरियनहरु,एपिक्युरियन,,एपिक्युरियनहरूले दार्शनिक एपिकुरसको शिक्षालाई पछ्याए जो येशूभन्दा लगभग ३०० वर्ष पहिले बाँचेका थिए। मानिसहरूले पीडा र डरबाट बच्दै जीवनमा खुशी खोज्नुपर्छ भनेर उनले सिकाएका थिए।,,,,
n,एसाउ,,Esawu (W),"एसाव येशूभन्दा लगभग १९०० वर्ष पहिले बाँचेका थिए। अब्राहामका छोरा इसाकका एसाव र याकूब नामका जुम्ल्याहा छोराहरू थिए। एसाव, जो जेठो थिए, मूर्खतापूर्वक आफ्नो जन्मसिद्ध अधिकार आफ्नो भाइ याकूबलाई बेचे। (याकूबका छोराहरू इस्राएली भए, र एसावका छोराहरू एदोमी भए।", एदोम,arabic ref.,,
n,एस्तर,,,"एस्तर एक यहुदी अनाथ थिइन् जसलाई उनको काका मोर्दकैले हुर्काएका थिए। फारसी राजा जेर्ससले एस्तरलाई आफ्नो नयाँ रानी बनाएपछि, उनले धेरै यहुदीहरूलाई मृत्युबाट बचाए। (एस्तर नामको अर्थ तारा हो। उनको यहुदी नाम हदस्साको अर्थ मर्टल काठ हो।)",,,GC 08-Mar-2019,
t,नपुंसक,नपुंसकहरु,"castrated; man (R); 
unmarried man, caused to be that way (G); 
chamberlain (W);",नपुंसक एक मानिस थियो जसलाई नपुंसक/बेदखली गरिएको थियो। मूर्तिपूजक राष्ट्रहरूले कहिलेकाहीँ दासहरू वा आधिकारिक सरकारी सेवा जस्ता केही प्रकारका कामका लागि प्रशिक्षित हुनेहरूलाई यस प्रकारको विकृति अभ्यास गर्थे। यो यहुदी चलन थिएन किनकि परमेश्वरको कानूनले मानिसहरूलाई युनिक बनाउन निषेध गर्दछ।, नोकर,"take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,
n,हव्वा,,Awa (W from Arabic),"हव्वा येशूभन्दा लगभग ४००० वर्ष अघि बाँचेकी थिइन्। हव्वा आदमकी पत्नी थिइन्, सबै मानिसहरूको पहिलो आमा। जब शैतानले आदम र हव्वालाई प्रलोभन दियो, तिनीहरूले परमेश्वरको अवज्ञा गरे। त्यसबेलादेखि, सबै मानिसहरूले पनि पाप गरिरहेका छन् र मर्नुपर्छ।", आदम,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",
t,दुष्ट,"दुष्टता, पापपुर्णl, दुष्टता",,"दुष्ट कुराहरू ती सबै हुन् जसलाई परमेश्वरले निषेध गर्नुहुन्छ; दुष्ट मानिसहरू परमेश्वरका नियमहरूको अवज्ञा गर्नेहरू हुन्; दुष्ट आत्माहरू अदृश्य प्राणीहरू हुन् जसले मानिसहरूलाई दुष्टको बारेमा ठट्टा गर्छन् र दुष्ट कार्यहरू गर्छन्।




",,,GC 15-Feb-2019,
t,विश्वास,"विश्वास, विश्वासगरिदै, विश्वास गर्नु, विश्वास गरिएको, विश्वास, भरोसा","saying yes (to someone or something; agreeing; accepting; trusting as true);
trust; belief (R); belief (W); heart/liver (inner being) hangs on something (PNG)","विश्वास भनेको (१) सत्यमा विश्वास गर्नु, (२) परमेश्वर वा ख्रीष्टमा विश्वास गर्नु, र (३) येशूप्रति वफादार रहनु हो। पुरानो र नयाँ करारहरू (टेस्टामेन्टहरू) दुवै अन्तर्गत परमेश्वरले उहाँमा र उहाँको प्रतिज्ञाहरूमा विश्वास राख्नेहरूलाई धर्मीको रूपमा गणना गर्नुहुन्छ।




","भरोसा, शंका,
अविश्वास",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",
t,उपवास,,fast (R); ,"उपवासको अर्थ केही समयका लागि खाना नखाउनु हो। यहुदीहरू पश्चात्ताप, दुःख, वा परमेश्वरको सामु नम्रताको सङ्केतको रूपमा उपवास गर्थे। विश्वासीहरू कहिलेकाहीँ परमेश्वरप्रतिको प्रार्थनाको रूपमा उपवास गर्छन्।",,,,
t,चाड,"उत्सव,उत्सवहरु, उत्सवहरु, उत्सवमनाईएको","a magnification (W);  remember (W); 
big meal / food; big day of worship (K); feast (R); 
big dance (festival) / big eating (feast) (G);
","भोजहरू धेरै राम्रा खाना र पेय पदार्थहरूका साथ विशेष भोजन हुन्। सामान्यतया विशेष अवसरका लागि भोज दिइन्छ। इस्राएलीहरूले वार्षिक उत्सवका लागि भोजहरू गर्थे, जब परिवारहरू परमेश्वरको भलाइलाई सम्झन भेला हुन्छन्। इस्राएलीहरूले यरूशलेममा केही भोजहरू राख्नुपर्ने थियो।", चाड,,,
t,चाडको,"हानुका, ज्योतीको चाड","purification (W); feast when they remembered the day when they opened the house of giving (R); 
a big day of worship so that they would remember the day when they opened the house of giving (K)
","येशूभन्दा पहिलेको वर्ष १६५ मा, इस्राएलीहरू (यहूदीहरू) ले आफ्नो मन्दिरलाई फेरि परमेश्वरलाई समर्पण गर्दै आफ्ना शत्रुहरूबाट फिर्ता लिए। यहुदीहरूले यसलाई हनुक्का र ""प्रकाशको पर्व"" भन्दै यो वार्षिक भोज मनाउँछन्।",,other language: why house of giving? (Hilkka),,
t,चाडको,पेन्तिकोस्ट,day of Pentikos (R); ,"पेन्तिकोस्टको अर्थ पचास हो। यो फसल पर्व वार्षिक निस्तारपर्बको भोजको ५० दिनपछि मे महिनामा आउँछ। यो पेन्तिकोस्टमा थियो, वर्ष ३३ मा, कि पवित्र आत्मा पहिलो येशूमा विश्वास गर्ने सबैलाई माथी आउनु भयो।",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",
t,चाडको,"वेदिकपो चाड,तम्बुकोचाड",day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"कार्तिक वा मंसिरमा आश्रयको वार्षिक भोजमा, यहुदीहरू खुसी हुन्छन् किनभने फसल पुरा भइसकेको छ। उजाडस्थानमा घुम्दै चालीस वर्ष आश्रयमा बिताएका आफ्ना पुर्खाहरूलाई सम्मान गर्न तिनीहरू एक हप्ताका लागि अस्थायी आश्रयमा बस्छन्।",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,
t,निस्तार चाड,निस्तार चाड,feast of go past (R); big day of worship of Go Past (K); ," फागुन वा चैतमा निस्तारपर्बको वार्षिक चाडको समयमा, यहुदीहरूले आफ्ना पुर्खाहरू कसरी मिश्रको दासत्वबाट उम्केका थिए भनेर सम्झन्छन्। त्यस समयमा परमेश्वरले चेतावनी दिनुभयो कि उहाँले आफ्नो स्वर्गदूतलाई मिश्रका हरेक घरका जेठा छोरालाई मार्न पठाउभयो, जहाँ उनीहरूले भेडाको मासु मार्नेछन् र उनीहरूको अगाडिको ढोकाको खुट्टामा यसको रगत लगाइदिनेछन्। यहाँ स्वर्गदूत कसैलाई हानी नगरी भएर गए।",खमिर नहालेको रोटीको चाड,,,
t,खमीर,खमीरीविनाको रोटी,feast of bread no yeast in it (R); big day of worship of bread no yeast in it (K); ,"खमीरी रोटीको वार्षिक भोज निस्तारपर्बको पर्व पछिका सात दिनसम्म रहन्छ। यी सात दिनमा, यहुदीहरूले आफ्ना पुर्खाहरू कसरी मिश्रबाट भागे (यति छिटो कि उनीहरूसँग खमीरको रोटी पकाउन पर्खन समय थिएन) सम्झन खमीर बिना रोटी खान्छन्।", निस्तार चाड,,,
n,फेलिक्स,,,"फेलिक्स ५२ र ६० वर्षको बिचमा यहूदियामा रोमी राज्यपाल थिए। एक बेइमान मानिस, उनले पावललाई दुई वर्षसम्म सिजेरियाको जेलमा राखे। पावलले परमेश्वरको न्यायको बारेमा व्याख्या गरेको सुनेर उनी एक पटक चिन्तित भए।




",,,,GC 7/7/2019
t,चाड,"चाड, उत्सव, उत्सव",,चाडपर्वहरू विशेष दिनहरू हुन् जब मानिसहरूले आफ्नो विगतलाई सम्झन्छन् वा परमेश्वरलाई सम्मान गर्छन्। मानिसहरूले भोजको भागको रूपमा सँगै खाना खान सक्छन्। निस्तारपर्बको भोजसहित इस्राएलमा सातवटा वार्षिक भोजहरू हुन्छन्।,,,GC 08-Mar-2019,
n,फेस्तस,,,फेस्तसले ६२ मा फेलिक्सलाई यहूदियामा रोमी राज्यपालको रूपमा प्रतिस्थापन गरे। रोमी सम्राट कैसरद्वारा न्याय गर्न पावललाई रोम पठाएसम्म उनले पावललाई सिजेरियाको जेलमा छोडे।,,,,GC 7/7/2019
t,अञ्जीरको रुख,अञ्जीरको रुखहरु,fig (R); ,अन्जीर एक प्रकारको फलफुलको रूख हो। यसको फल धेरै मीठो हुन्छ।,,,,
t,मुर्ख,"मुर्खता, मुर्खहरु, मुर्खित","the one who doesn't really know things (G); 
","एक मूर्ख त्यो हो जसले गरिब/मूर्ख/खराब छनौट गर्दछ, अरूले उसलाई चेतावनी दिए पनि। परमेश्वर मूर्खहरूले पश्चात्ताप गर्न, बुद्धि सिक्न र उहाँको आज्ञा पालन गर्न चाहनुहुन्छ। हितोपदेशको पुस्तकले प्रायः मूर्ख मानिसहरू र बुद्धिमान मानिसहरूको भिन्नता देखाउँछ।", बुद्धि,,GC 19-Feb-2019,
t,क्षमा दिनु,"क्षमा दिएको, क्षमा दिनु, क्षमा",erase (R); put arm around their shoulders (S-I);,"क्षमा गर्नु भनेको पाप गर्ने वा आज्ञा नमान्नेहरूलाई सजाय नदिन रोज्नु हो। जब क्षमा गरिन्छ, गलत गर्नेहरूलाई उनीहरूले गरेको कामका लागि दोषी वा लाज लाग्दैन।","दोष,  लाज,  सफा गर्न, शद्धगर्नु",,,
t,आकार,"आकारदिएको, आकारहरु",,"केहि बनाउनको लागि (१) यसको आकार परिवर्तन गर्न केहि जस्तो देखिन्छ (उदारहण, माटो कुनै वस्तुको छवि जस्तो देखिनका लागि बनाउन सकिन्छ) वा (२) मानिसहरूलाई नयाँ समूहमा ल्याउनका लागि।","कुद्नु,
 बनाउनु,
",,GC 23-Feb-2019,
t,स्याल,स्यालहरु,fox (G); ,"स्याल एउटा जङ्गली जनावर हो जुन सानो कुकुर जस्तै सुन्दर फर, झाडी पुच्छर, धारदार दाँत र गैर-फिर्ता हुने पन्जा भएको छ। फक्सहरूले बिरालो जस्तै गोप्य रूपमा सिकार गर्छन् र मुसाहरू, मुसाहरू, सर्पहरू र खरगोशहरू जस्ता साना जनावरहरू खान्छन्। केही संस्कृतिहरूले सौन्दर्य, चालाक, बुद्धिमानी वा जटिल जस्ता विशेषताहरू वर्णन गर्न रूपक तरिकामा स्यालको प्रयोग गर्छन्। उदाहरणका लागि, यदि एउटी महिला सुन्दर छिन् भने उनलाई स्याल भन्न सकिन्छ। राजा हेरोदलाई फक्स भनिन्थ्यो, जसको अर्थ हेरोद मूर्ख वा खतरनाक रूपमा चालाक थिए।




",,,,
t,सुगन्धित धुप,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)","सुगन्धित धुप रूखको रसबाट बनेको राम्रो गन्धयुक्त पाउडर हो। जब यसलाई जलाइन्छ, यसले मीठो वास्ना बनाउँछ। यहुदीहरूले यसलाई टाढाबाट ल्याउनुपर्ने भएकाले यो महँगो थियो।




", धूप,good smelling powder made of sap of a tree (Hilkka),,
t,भट्टी,भट्टी,fire (W);,"भट्टी भनेको ठाउँ वा ठुलो बाकस हो जसमा कसैले काठ वा अर्को इन्धन जलाएर उच्च ताप उत्पादन गर्दछ, जस्तै भट्टीले इँटा वा भाँडाहरू निको पार्छ। (बेबिलोनवासीहरूले शवहरू दाहसंस्कार गरेर, भट्टीमा जलाएर फ्याँकिदिए।) (शिल्पकारहरूले चाँदी वा सुन जस्ता धातुहरू शुद्ध गर्न भट्टीहरू प्रयोग गर्थे।)",,,,
n,गेरासेनस,गेरासेनसवासिहरु,,गदरनी गालील ताल नजिकैको क्षेत्र थियो जहाँ सुँगुरको मासु खाने धेरै अन्यजातिहरू थिए।,,,GC 08-Mar-2019,
n,गालील,,,गालील इस्राएलको उत्तरी भागको एउटा क्षेत्र वा प्रान्त थियो जुन गालीलको सागर भनिने धेरै ठुलो तालको वरिपरि थियो। यसमा धेरै माछाहरू छन्।,,,,
n,गेजी,,,गेहजी एलीशा अगमवक्ताका सेवक थिए। उनले एक पटक एलीशाले कुष्ठरोगबाट निको पारेको सिरियाली अधिकारीबाट उपहार मागेर पाप गरे।,,,GC 07-Feb-19,
